year,1,2,3,4,5,6,7,8,9,10,11,12
2008,12897,25702,39080,51275,62869,73973,85669,96451,107696,119736,130223,143624
2009,9689,25566,38201,50154,60481,72903,84512,96336,107946,119422,130872,143582
2010,12496,23646,37589,49714,61093,72807,85066,97250,108972,120441,132885,145772
2011,14313,27096,43103,56409,69314,81412,92553,104840,116500,128081,140190,152915
2012,12991,27309,41796,54715,67835,79554,93130,105856,117215,130322,142408,154251
2013,15352,27190,40898,54074,67047,78546,92164,104227,116592,129845,142063,155908
2014,13935,29284,44749,58863,72050,84714,98804,111201,124622,137858,149320,163929
2015,14310,26432,42524,56526,69328,83040,97515,110101,122628,136422,149432,163858
2016,14292,29733,48651,63171,77409,90854,103875,118070,130899,144575,158238,172405
2017,12835,27700,45091,58201,72115,86568,101047,116627,130063,143773,157405,171242
2018,16761,31254,48454,62442,76770,89813,104185,118347,131233,146155,159835,172784
2019,16622,29974,45145,60141,74796,88098,103952,117935,131801,147151,160890,176296
2020,14673,30884,46967,61390,74662,88555,103088,116389,130265,143807,157948,173156
2021,16332,31188,47626,61902,77010,93649,109172,124124,138018,152433,167993,183732
2022,15954,30841,49080,63735,81144,102177,120392,138222,154727,,,
