year,1,2,3,4,5,6,7,8,9,10,11,12
2008,12897,12805,13378,12195,11594,11104,11696,10782,11245,12040,10487,13401
2009,9689,15877,12635,11953,10327,12422,11609,11824,11610,11476,11450,12710
2010,12496,11150,13943,12125,11379,11714,12259,12184,11722,11469,12444,12887
2011,14313,12783,16007,13306,12905,12098,11141,12287,11660,11581,12109,12725
2012,12991,14318,14487,12919,13120,11719,13576,12726,11359,13107,12086,11843
2013,15352,11838,13708,13176,12973,11499,13618,12063,12365,13253,12218,13845
2014,13935,15349,15465,14114,13187,12664,14090,12397,13421,13236,11462,14609
2015,14310,12122,16092,14002,12802,13712,14475,12586,12527,13794,13010,14426
2016,14292,15441,18918,14520,14238,13445,13021,14195,12829,13676,13663,14167
2017,12835,14865,17391,13110,13914,14453,14479,15580,13436,13710,13632,13837
2018,16761,14493,17200,13988,14328,13043,14372,14162,12886,14922,13680,12949
2019,16622,13352,15171,14996,14655,13302,15854,13983,13866,15350,13739,15406
2020,14673,16211,16083,14423,13272,13893,14533,13301,13876,13542,14141,15208
2021,16332,14856,16438,14276,15108,16639,15523,14952,13894,14415,15560,15739
2022,15954,14887,18239,14655,17409,21033,18215,,,,,
