ym,inTotal,inMale,inFemale,outTotal,outMale,outFemale
201801,2202,991,1211,2289,1027,1262
201802,1841,866,975,1891,852,1039
201803,3459,1572,1887,3535,1615,1920
201804,3069,1466,1603,2829,1339,1490
201805,3276,1489,1787,3041,1384,1657
201806,2370,1104,1266,2259,1011,1248
201807,2793,1275,1518,2712,1253,1459
201808,2206,1048,1158,2388,1170,1218
201809,1680,789,891,1943,894,1049
201810,1588,740,848,1610,737,873
201811,1628,746,882,1841,854,987
201812,2116,972,1144,2777,1239,1538
201901,2230,1004,1226,2737,1233,1504
201902,1865,843,1022,2214,968,1246
201903,2455,1098,1357,2802,1264,1538
201904,2587,1209,1378,2804,1280,1524
201905,2512,1172,1340,2625,1201,1424
201906,2211,1049,1162,2362,1059,1303
201907,2488,1119,1369,2760,1281,1479
201908,2572,1196,1376,2681,1262,1419
201909,2206,1000,1206,2549,1156,1393
201910,1809,791,1018,1917,873,1044
201911,1624,731,893,1710,781,929
201912,1649,773,876,1640,733,907
202001,1978,871,1107,2318,1025,1293
202002,2391,1110,1281,2668,1217,1451
202003,2651,1278,1373,2905,1390,1515
202004,2096,994,1102,2268,1039,1229
202005,2070,939,1131,2208,1012,1196
202006,1995,947,1048,2022,920,1102
202007,2466,1160,1306,2550,1216,1334
202008,2257,1063,1194,2427,1123,1304
202009,2158,1057,1101,2586,1225,1361
202010,1511,689,822,1748,790,958
202011,1701,801,900,1939,912,1027
202012,1911,872,1039,2117,958,1159
202101,1787,781,1006,1951,841,1110
202102,1716,812,904,1975,918,1057
202103,2624,1207,1417,3033,1376,1657
202104,2213,1074,1139,2522,1200,1322
202105,2086,981,1105,2355,1071,1284
202106,2005,919,1086,2175,981,1194
202107,2266,1009,1257,2545,1137,1408
202108,2225,1062,1163,2710,1302,1408
202109,2235,1055,1180,2831,1272,1559
202110,1824,860,964,2140,949,1191
202111,2134,971,1163,2363,1072,1291
202112,1880,862,1018,2194,1006,1188
202201,2220,1005,1215,2477,1164,1313
202202,2264,1065,1199,2583,1201,1382
202203,3516,1614,1902,4133,1919,2214
202204,3174,1509,1665,3314,1545,1769
202205,3196,1486,1710,2868,1287,1581
202206,2716,1258,1458,2819,1311,1508
202207,3025,1417,1608,2602,1261,1341
202208,2561,1229,1332,2547,1232,1315
