y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,356,4.37,51.54,59,0.72,8.52,95,1.16,13.72,36,0.44,5.2
2008/2,160,1.95,24.65,43,0.52,6.62,70,0.85,10.78,27,0.33,4.16
2008/3,260,3.17,37.41,28,0.34,4.02,74,0.9,10.63,46,0.56,6.61
2008/4,445,5.41,65.95,20,0.24,2.96,66,0.8,9.75,46,0.56,6.8
2008/5,310,3.75,44.22,41,0.49,5.84,82,0.99,11.68,41,0.49,5.84
2008/6,147,1.77,21.59,28,0.34,4.11,57,0.69,8.36,29,0.35,4.25
2008/7,104,1.25,14.75,54,0.65,7.66,82,0.98,11.63,28,0.34,3.97
2008/8,168,2.02,23.8,43,0.52,6.09,69,0.83,9.77,26,0.31,3.68
2008/9,122,1.46,17.83,35,0.42,5.11,66,0.79,9.64,31,0.37,4.53
2008/10,116,1.39,16.38,37,0.44,5.22,72,0.86,10.16,35,0.42,4.94
2008/11,373,4.45,54.35,109,1.3,15.85,132,1.57,19.19,23,0.27,3.34
2008/12,462,5.49,64.85,63,0.75,8.82,105,1.24,14.7,42,0.5,5.88
2009/1,271,3.2,37.73,30,0.35,4.17,67,0.79,9.31,37,0.44,5.14
2009/2,714,8.42,109.71,38,0.45,5.81,78,0.92,11.93,40,0.47,6.12
2009/3,709,8.29,97.57,77,0.9,10.55,111,1.29,15.21,34,0.4,4.66
2009/4,1192,13.82,168.12,11,0.13,1.54,60,0.69,8.4,49,0.56,6.86
2009/5,678,7.75,91.28,34,0.39,4.56,69,0.79,9.25,35,0.4,4.69
2009/6,1337,15.17,184.57,52,0.59,7.12,95,1.07,13.02,43,0.48,5.89
2009/7,1060,11.85,139.49,41,0.46,5.36,90,1,11.77,49,0.54,6.41
2009/8,730,8.06,94.94,51,0.56,6.61,80,0.88,10.36,29,0.32,3.76
2009/9,629,6.89,83.86,58,0.63,7.71,96,1.05,12.75,38,0.41,5.05
2009/10,712,7.75,91.23,64,0.69,8.17,100,1.08,12.76,36,0.39,4.6
2009/11,505,5.45,66.35,57,0.61,7.47,93,1,12.19,36,0.39,4.72
2009/12,696,7.48,88.02,66,0.71,8.32,111,1.19,13.98,45,0.48,5.67
2010/1,402,4.29,50.46,55,0.59,6.89,87,0.93,10.9,32,0.34,4.01
2010/2,269,2.86,37.22,53,0.56,7.32,81,0.86,11.19,28,0.3,3.87
2010/3,227,2.4,28.29,45,0.48,5.6,101,1.07,12.57,56,0.59,6.97
2010/4,210,2.22,26.98,44,0.46,5.65,85,0.9,10.91,41,0.43,5.26
2010/5,127,1.34,15.75,51,0.54,6.32,84,0.88,10.41,33,0.35,4.09
2010/6,107,1.13,13.7,29,0.3,3.71,69,0.73,8.83,40,0.42,5.12
2010/7,264,2.77,32.67,47,0.49,5.81,74,0.78,9.14,27,0.28,3.34
2010/8,374,3.92,46.15,46,0.48,5.67,91,0.95,11.21,45,0.47,5.54
2010/9,308,3.22,39.12,34,0.35,4.31,76,0.79,9.64,42,0.44,5.33
2010/10,531,5.53,65.06,48,0.5,5.87,93,0.97,11.36,45,0.47,5.5
2010/11,359,3.72,45.21,61,0.63,7.67,105,1.08,13.2,44,0.45,5.53
2010/12,383,3.95,46.5,59,0.61,7.15,107,1.1,12.96,48,0.49,5.82
2011/1,369,3.79,44.62,45,0.46,5.43,92,0.94,11.1,47,0.48,5.67
2011/2,236,2.41,31.48,4,0.04,0.53,63,0.64,8.39,59,0.6,7.86
2011/3,217,2.21,26.08,58,0.59,6.96,125,1.27,15.01,67,0.68,8.04
2011/4,455,4.63,56.38,34,0.35,4.2,76,0.77,9.4,42,0.43,5.19
2011/5,637,6.46,76.03,52,0.53,6.19,89,0.9,10.59,37,0.37,4.4
2011/6,413,4.16,50.61,50,0.5,6.11,97,0.98,11.86,47,0.47,5.75
2011/7,557,5.59,65.79,53,0.53,6.24,106,1.06,12.48,53,0.53,6.24
2011/8,846,8.44,99.36,51,0.51,5.96,90,0.89,10.53,39,0.39,4.56
2011/9,970,9.6,116.74,75,0.74,8.98,121,1.19,14.49,46,0.45,5.51
2011/10,763,7.48,88.02,41,0.4,4.71,86,0.84,9.88,45,0.44,5.17
2011/11,513,4.99,60.7,63,0.61,7.44,102,0.99,12.04,39,0.38,4.6
2011/12,543,5.25,61.87,78,0.75,8.86,107,1.03,12.16,29,0.28,3.3
2012/1,655,6.31,74.44,36,0.35,4.08,90,0.86,10.2,54,0.52,6.12
