y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,-110,-0.21,-2.43,42,0.08,0.93,402,0.75,8.89,360,0.67,7.96
2008/2,-106,-0.2,-2.51,-15,-0.03,-0.35,360,0.67,8.52,375,0.7,8.87
2008/3,-181,-0.34,-4.01,-114,-0.21,-2.52,294,0.55,6.51,408,0.76,9.03
2008/4,-150,-0.28,-3.43,-15,-0.03,-0.34,342,0.64,7.82,357,0.67,8.17
2008/5,-287,-0.54,-6.36,0,0,0,336,0.63,7.44,336,0.63,7.44
2008/6,-121,-0.23,-2.77,22,0.04,0.5,333,0.62,7.62,311,0.58,7.12
2008/7,-147,-0.28,-3.26,1,0,0.02,354,0.66,7.85,353,0.66,7.82
2008/8,-193,-0.36,-4.28,-43,-0.08,-0.95,290,0.54,6.43,333,0.63,7.38
2008/9,-348,-0.65,-7.97,-48,-0.09,-1.1,310,0.58,7.11,358,0.67,8.21
2008/10,-40,-0.08,-0.89,49,0.09,1.09,425,0.8,9.43,376,0.71,8.34
2008/11,25,0.05,0.57,165,0.31,3.78,459,0.86,10.53,294,0.55,6.74
2008/12,-306,-0.58,-6.79,-56,-0.11,-1.24,374,0.7,8.3,430,0.81,9.54
2009/1,57,0.11,1.26,22,0.04,0.49,318,0.6,7.04,296,0.56,6.55
2009/2,-77,-0.14,-1.89,-92,-0.17,-2.26,380,0.71,9.32,472,0.89,11.57
2009/3,-103,-0.19,-2.28,-28,-0.05,-0.62,385,0.72,8.53,413,0.78,9.15
2009/4,-116,-0.22,-2.65,-123,-0.23,-2.82,220,0.41,5.04,343,0.65,7.85
2009/5,-270,-0.51,-5.98,-92,-0.17,-2.04,237,0.45,5.25,329,0.62,7.29
2009/6,63,0.12,1.44,-48,-0.09,-1.1,332,0.62,7.6,380,0.72,8.7
2009/7,-130,-0.24,-2.88,-26,-0.05,-0.58,317,0.6,7.03,343,0.65,7.6
2009/8,-236,-0.44,-5.23,-22,-0.04,-0.49,308,0.58,6.83,330,0.62,7.32
2009/9,-186,-0.35,-4.26,8,0.02,0.18,314,0.59,7.2,306,0.58,7.01
2009/10,14,0.03,0.31,17,0.03,0.38,358,0.67,7.94,341,0.64,7.56
2009/11,122,0.23,2.8,47,0.09,1.08,374,0.7,8.57,327,0.62,7.49
2009/12,-67,-0.13,-1.49,0,0,0,371,0.7,8.23,371,0.7,8.23
2010/1,51,0.1,1.13,-30,-0.06,-0.67,340,0.64,7.54,370,0.7,8.21
2010/2,-170,-0.32,-4.17,-115,-0.22,-2.82,241,0.45,5.92,356,0.67,8.74
2010/3,-507,-0.96,-11.25,-100,-0.19,-2.22,325,0.61,7.21,425,0.8,9.43
2010/4,-431,-0.81,-9.89,-52,-0.1,-1.19,296,0.56,6.8,348,0.66,7.99
2010/5,-446,-0.84,-9.91,-79,-0.15,-1.76,264,0.5,5.87,343,0.65,7.63
2010/6,-1038,-1.96,-23.86,-63,-0.12,-1.45,257,0.49,5.91,320,0.61,7.36
2010/7,-343,-0.65,-7.64,-121,-0.23,-2.7,238,0.45,5.31,359,0.68,8
2010/8,-166,-0.31,-3.7,-18,-0.03,-0.4,311,0.59,6.94,329,0.62,7.34
2010/9,-475,-0.9,-10.95,-128,-0.24,-2.95,259,0.49,5.97,387,0.73,8.93
2010/10,-388,-0.74,-8.66,-59,-0.11,-1.32,262,0.5,5.85,321,0.61,7.17
2010/11,-179,-0.34,-4.13,-25,-0.05,-0.58,310,0.59,7.16,335,0.64,7.74
2010/12,-241,-0.46,-5.39,-44,-0.08,-0.98,317,0.6,7.09,361,0.69,8.07
2011/1,-312,-0.59,-6.98,-152,-0.29,-3.4,272,0.52,6.08,424,0.81,9.48
2011/2,-239,-0.45,-5.92,-147,-0.28,-3.64,241,0.46,5.97,388,0.74,9.61
2011/3,-387,-0.74,-8.66,-151,-0.29,-3.38,329,0.63,7.37,480,0.91,10.75
2011/4,-267,-0.51,-6.18,-95,-0.18,-2.2,279,0.53,6.46,374,0.71,8.66
2011/5,-441,-0.84,-9.88,-98,-0.19,-2.2,290,0.55,6.5,388,0.74,8.7
2011/6,-419,-0.8,-9.71,-78,-0.15,-1.81,282,0.54,6.54,360,0.69,8.35
2011/7,-300,-0.57,-6.74,-115,-0.22,-2.58,255,0.49,5.73,370,0.71,8.31
2011/8,-321,-0.61,-7.21,-71,-0.14,-1.6,295,0.56,6.63,366,0.7,8.22
2011/9,-314,-0.6,-7.29,-25,-0.05,-0.58,323,0.62,7.5,348,0.66,8.09
2011/10,-315,-0.6,-7.08,-68,-0.13,-1.53,265,0.51,5.96,333,0.64,7.49
2011/11,-213,-0.41,-4.95,-62,-0.12,-1.44,305,0.58,7.09,367,0.7,8.54
2011/12,-156,-0.3,-3.51,-39,-0.07,-0.88,341,0.65,7.68,380,0.73,8.56
2012/1,-245,-0.47,-5.53,-79,-0.15,-1.78,281,0.54,6.35,360,0.69,8.13
2012/2,-361,-0.69,-8.72,-120,-0.23,-2.9,281,0.54,6.79,401,0.77,9.69
2012/3,-299,-0.57,-6.76,-80,-0.15,-1.81,357,0.68,8.07,437,0.84,9.88
2012/4,-98,-0.19,-2.29,-47,-0.09,-1.1,299,0.57,6.99,346,0.66,8.09
2012/5,-352,-0.67,-7.96,-102,-0.2,-2.31,329,0.63,7.45,431,0.83,9.76
2012/6,-234,-0.45,-5.47,-43,-0.08,-1.01,338,0.65,7.91,381,0.73,8.92
2012/7,-226,-0.43,-5.12,-103,-0.2,-2.33,293,0.56,6.64,396,0.76,8.97
2012/8,-352,-0.68,-7.98,-25,-0.05,-0.57,343,0.66,7.78,368,0.71,8.34
2012/9,-266,-0.51,-6.23,-19,-0.04,-0.45,325,0.62,7.62,344,0.66,8.06
2012/10,-85,-0.16,-1.93,45,0.09,1.02,417,0.8,9.46,372,0.71,8.44
2012/11,-11,-0.02,-0.26,73,0.14,1.71,419,0.81,9.83,346,0.67,8.11
2012/12,-82,-0.16,-1.86,14,0.03,0.32,374,0.72,8.49,360,0.69,8.17
2013/1,-153,-0.29,-3.46,-66,-0.13,-1.49,409,0.79,9.26,475,0.91,10.75
2013/2,-122,-0.23,-3.06,-47,-0.09,-1.18,292,0.56,7.32,339,0.65,8.5
2013/3,-188,-0.36,-4.26,-113,-0.22,-2.56,294,0.57,6.66,407,0.78,9.22
2013/4,-307,-0.59,-7.19,-87,-0.17,-2.04,289,0.56,6.77,376,0.72,8.8
2013/5,-371,-0.71,-8.41,-108,-0.21,-2.45,285,0.55,6.46,393,0.76,8.91
2013/6,-317,-0.61,-7.43,-105,-0.2,-2.46,234,0.45,5.49,339,0.65,7.95
2013/7,-207,-0.4,-4.7,-92,-0.18,-2.09,286,0.55,6.49,378,0.73,8.58
2013/8,-219,-0.42,-4.97,-75,-0.14,-1.7,271,0.52,6.15,346,0.67,7.86
2013/9,-328,-0.63,-7.7,-112,-0.22,-2.63,273,0.53,6.41,385,0.74,9.04
2013/10,-283,-0.55,-6.43,-116,-0.22,-2.64,292,0.56,6.64,408,0.79,9.28
2013/11,-241,-0.47,-5.66,-94,-0.18,-2.21,259,0.5,6.09,353,0.68,8.3
2013/12,-238,-0.46,-5.42,-121,-0.23,-2.75,297,0.57,6.76,418,0.81,9.51
2014/1,-185,-0.36,-4.21,-185,-0.36,-4.21,256,0.5,5.83,441,0.85,10.04
2014/2,-306,-0.59,-7.72,-196,-0.38,-4.94,252,0.49,6.36,448,0.87,11.3
2014/3,-416,-0.81,-9.48,-161,-0.31,-3.67,287,0.56,6.54,448,0.87,10.21
2014/4,-108,-0.21,-2.55,-120,-0.23,-2.83,274,0.53,6.46,394,0.76,9.29
2014/5,-211,-0.41,-4.81,-143,-0.28,-3.26,268,0.52,6.11,411,0.8,9.38
2014/6,-212,-0.41,-5,-86,-0.17,-2.03,282,0.55,6.65,368,0.71,8.68
2014/7,-220,-0.43,-5.02,-118,-0.23,-2.69,291,0.56,6.64,409,0.79,9.34
2014/8,-219,-0.42,-5,-59,-0.11,-1.35,283,0.55,6.46,342,0.66,7.81
2014/9,-264,-0.51,-6.23,-66,-0.13,-1.56,309,0.6,7.3,375,0.73,8.86
2014/10,-187,-0.36,-4.28,-43,-0.08,-0.98,350,0.68,8,393,0.76,8.99
2014/11,-58,-0.11,-1.37,28,0.05,0.66,338,0.66,7.99,310,0.6,7.33
2014/12,-521,-1.01,-11.92,-38,-0.07,-0.87,369,0.72,8.44,407,0.79,9.31
2015/1,-345,-0.67,-7.9,-84,-0.16,-1.92,319,0.62,7.31,403,0.78,9.23
2015/2,-274,-0.53,-6.95,-94,-0.18,-2.38,255,0.5,6.47,349,0.68,8.85
2015/3,-604,-1.18,-13.84,-175,-0.34,-4.01,294,0.57,6.74,469,0.91,10.76
2015/4,-632,-1.23,-14.99,-157,-0.31,-3.73,262,0.51,6.22,419,0.82,9.94
2015/5,-520,-1.01,-11.95,-165,-0.32,-3.79,243,0.47,5.59,408,0.8,9.38
2015/6,-422,-0.82,-10.03,-91,-0.18,-2.16,298,0.58,7.09,389,0.76,9.25
2015/7,-458,-0.9,-10.54,-106,-0.21,-2.44,297,0.58,6.84,403,0.79,9.28
2015/8,-428,-0.84,-9.86,-103,-0.2,-2.37,289,0.57,6.66,392,0.77,9.03
2015/9,-538,-1.05,-12.82,-103,-0.2,-2.46,292,0.57,6.96,395,0.77,9.42
2015/10,-183,-0.36,-4.22,-52,-0.1,-1.2,350,0.69,8.08,402,0.79,9.28
2015/11,-173,-0.34,-4.13,3,0.01,0.07,365,0.72,8.71,362,0.71,8.64
2015/12,-248,-0.49,-5.73,-82,-0.16,-1.89,312,0.61,7.21,394,0.77,9.1
2016/1,-328,-0.64,-7.6,-120,-0.24,-2.78,277,0.54,6.42,397,0.78,9.2
2016/2,-576,-1.13,-14.28,-213,-0.42,-5.28,270,0.53,6.7,483,0.95,11.98
