y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,371,0.24,2.88,284,0.19,2.2,1027,0.68,7.97,743,0.49,5.77
2008/2,519,0.34,4.31,133,0.09,1.1,915,0.6,7.59,782,0.51,6.49
2008/3,312,0.21,2.42,69,0.05,0.54,947,0.62,7.35,878,0.58,6.81
2008/4,586,0.39,4.7,185,0.12,1.48,934,0.61,7.49,749,0.49,6
2008/5,313,0.21,2.43,159,0.1,1.23,885,0.58,6.86,726,0.48,5.63
2008/6,661,0.43,5.3,150,0.1,1.2,826,0.54,6.62,676,0.44,5.42
2008/7,332,0.22,2.57,131,0.09,1.02,907,0.6,7.03,776,0.51,6.01
2008/8,240,0.16,1.86,123,0.08,0.95,854,0.56,6.62,731,0.48,5.66
2008/9,-15,-0.01,-0.12,227,0.15,1.82,990,0.65,7.93,763,0.5,6.11
2008/10,467,0.31,3.62,334,0.22,2.59,1098,0.72,8.51,764,0.5,5.92
2008/11,655,0.43,5.24,583,0.38,4.67,1219,0.8,9.75,636,0.42,5.09
2008/12,646,0.42,5,125,0.08,0.97,984,0.65,7.62,859,0.56,6.65
2009/1,354,0.23,2.73,200,0.13,1.54,765,0.5,5.9,565,0.37,4.36
2009/2,132,0.09,1.13,-100,-0.07,-0.85,983,0.64,8.4,1083,0.71,9.25
2009/3,466,0.31,3.6,439,0.29,3.39,1186,0.78,9.15,747,0.49,5.76
2009/4,-386,-0.25,-3.08,-136,-0.09,-1.08,600,0.39,4.78,736,0.48,5.87
2009/5,112,0.07,0.86,104,0.07,0.8,748,0.49,5.77,644,0.42,4.97
2009/6,100,0.07,0.8,104,0.07,0.83,916,0.6,7.3,812,0.53,6.47
2009/7,501,0.33,3.86,292,0.19,2.25,1013,0.66,7.81,721,0.47,5.56
2009/8,-81,-0.05,-0.62,32,0.02,0.25,815,0.53,6.28,783,0.51,6.04
2009/9,-43,-0.03,-0.34,238,0.16,1.9,976,0.64,7.78,738,0.48,5.88
2009/10,345,0.23,2.66,290,0.19,2.24,1053,0.69,8.12,763,0.5,5.88
2009/11,297,0.19,2.37,260,0.17,2.07,1011,0.66,8.05,751,0.49,5.98
2009/12,475,0.31,3.66,273,0.18,2.1,1050,0.69,8.09,777,0.51,5.99
2010/1,292,0.19,2.25,206,0.13,1.59,974,0.64,7.5,768,0.5,5.92
2010/2,55,0.04,0.47,54,0.04,0.46,757,0.5,6.46,703,0.46,6
2010/3,45,0.03,0.35,126,0.08,0.97,995,0.65,7.67,869,0.57,6.69
2010/4,124,0.08,0.99,60,0.04,0.48,829,0.54,6.6,769,0.5,6.12
