y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,-40,-0.12,-1.38,-3,-0.01,-0.1,277,0.81,9.53,280,0.82,9.63
2008/2,-120,-0.35,-4.41,-87,-0.25,-3.2,211,0.61,7.76,298,0.87,10.96
2008/3,-116,-0.34,-3.99,-21,-0.06,-0.72,247,0.72,8.5,268,0.78,9.22
2008/4,-128,-0.37,-4.55,-44,-0.13,-1.57,233,0.68,8.29,277,0.81,9.85
2008/5,-198,-0.58,-6.82,-38,-0.11,-1.31,224,0.65,7.71,262,0.76,9.02
2008/6,-184,-0.54,-6.55,-38,-0.11,-1.35,211,0.62,7.51,249,0.73,8.87
2008/7,-116,-0.34,-4,-30,-0.09,-1.03,212,0.62,7.31,242,0.71,8.34
2008/8,-397,-1.16,-13.69,-52,-0.15,-1.79,186,0.54,6.42,238,0.7,8.21
2008/9,-160,-0.47,-5.71,-41,-0.12,-1.46,219,0.64,7.81,260,0.76,9.28
2008/10,-51,-0.15,-1.76,31,0.09,1.07,276,0.81,9.53,245,0.72,8.46
2008/11,-83,-0.24,-2.96,43,0.13,1.54,290,0.85,10.35,247,0.72,8.82
2008/12,-276,-0.81,-9.54,-66,-0.19,-2.28,238,0.7,8.23,304,0.89,10.51
2009/1,71,0.21,2.45,-31,-0.09,-1.07,179,0.52,6.17,210,0.61,7.24
2009/2,-241,-0.71,-9.2,-97,-0.28,-3.7,227,0.66,8.67,324,0.95,12.37
2009/3,-41,-0.12,-1.41,27,0.08,0.93,325,0.95,11.21,298,0.87,10.28
2009/4,-176,-0.52,-6.28,-113,-0.33,-4.03,138,0.4,4.92,251,0.74,8.95
2009/5,-14,-0.04,-0.48,-39,-0.11,-1.35,185,0.54,6.39,224,0.66,7.73
2009/6,-129,-0.38,-4.6,-36,-0.11,-1.28,216,0.63,7.71,252,0.74,8.99
2009/7,44,0.13,1.52,-32,-0.09,-1.11,218,0.64,7.53,250,0.73,8.63
2009/8,54,0.16,1.86,-98,-0.29,-3.38,182,0.53,6.28,280,0.82,9.67
2009/9,-126,-0.37,-4.5,-38,-0.11,-1.36,227,0.67,8.1,265,0.78,9.46
2009/10,35,0.1,1.21,0,0,0,236,0.69,8.15,236,0.69,8.15
2009/11,39,0.11,1.39,-9,-0.03,-0.32,237,0.7,8.46,246,0.72,8.78
2009/12,15,0.04,0.52,-21,-0.06,-0.73,242,0.71,8.36,263,0.77,9.08
2010/1,62,0.18,2.14,-26,-0.08,-0.9,203,0.6,7.01,229,0.67,7.91
2010/2,-29,-0.09,-1.11,-51,-0.15,-1.95,181,0.53,6.92,232,0.68,8.87
2010/3,-203,-0.6,-7.01,-71,-0.21,-2.45,222,0.65,7.67,293,0.86,10.12
2010/4,-89,-0.26,-3.18,-57,-0.17,-2.04,197,0.58,7.03,254,0.75,9.07
2010/5,-282,-0.83,-9.75,-77,-0.23,-2.66,183,0.54,6.33,260,0.76,8.99
2010/6,-752,-2.21,-26.88,-96,-0.28,-3.43,164,0.48,5.87,260,0.76,9.3
2010/7,-12,-0.04,-0.42,-41,-0.12,-1.42,189,0.56,6.55,230,0.68,7.97
2010/8,-113,-0.33,-3.92,-75,-0.22,-2.6,204,0.6,7.07,279,0.82,9.67
2010/9,-251,-0.74,-8.99,-77,-0.23,-2.76,167,0.49,5.99,244,0.72,8.75
2010/10,-203,-0.6,-7.04,-51,-0.15,-1.77,204,0.6,7.08,255,0.75,8.85
2010/11,-131,-0.39,-4.7,-30,-0.09,-1.08,242,0.71,8.68,272,0.8,9.76
2010/12,-156,-0.46,-5.42,-106,-0.31,-3.68,185,0.55,6.43,291,0.86,10.11
2011/1,-171,-0.5,-5.94,-86,-0.25,-2.99,198,0.58,6.88,284,0.84,9.87
2011/2,-153,-0.45,-5.89,-73,-0.22,-2.81,174,0.51,6.7,247,0.73,9.51
2011/3,-205,-0.61,-7.13,-80,-0.24,-2.78,233,0.69,8.11,313,0.92,10.89
2011/4,-228,-0.67,-8.2,-36,-0.11,-1.3,211,0.62,7.59,247,0.73,8.89
2011/5,-290,-0.86,-10.1,-106,-0.31,-3.69,191,0.57,6.66,297,0.88,10.35
2011/6,-201,-0.6,-7.24,-53,-0.16,-1.91,191,0.57,6.88,244,0.72,8.79
2011/7,-175,-0.52,-6.1,-40,-0.12,-1.4,195,0.58,6.8,235,0.7,8.2
2011/8,-189,-0.56,-6.6,-44,-0.13,-1.54,219,0.65,7.64,263,0.78,9.18
2011/9,-215,-0.64,-7.76,-35,-0.1,-1.26,226,0.67,8.16,261,0.77,9.42
2011/10,-93,-0.28,-3.25,-9,-0.03,-0.31,221,0.66,7.72,230,0.68,8.04
2011/11,-49,-0.15,-1.77,13,0.04,0.47,260,0.77,9.39,247,0.73,8.92
2011/12,2,0.01,0.07,15,0.04,0.52,284,0.84,9.93,269,0.8,9.4
2012/1,-105,-0.31,-3.68,-84,-0.25,-2.94,179,0.53,6.28,263,0.78,9.22
2012/2,-112,-0.33,-4.2,-71,-0.21,-2.66,206,0.61,7.72,277,0.82,10.38
2012/3,-136,-0.4,-4.77,-37,-0.11,-1.3,252,0.75,8.84,289,0.86,10.14
2012/4,-167,-0.5,-6.05,-50,-0.15,-1.81,210,0.62,7.62,260,0.77,9.43
2012/5,-242,-0.72,-8.5,-31,-0.09,-1.09,219,0.65,7.69,250,0.74,8.78
2012/6,-56,-0.17,-2.03,-22,-0.07,-0.8,243,0.72,8.82,265,0.79,9.62
2012/7,-226,-0.67,-7.94,-72,-0.21,-2.53,193,0.57,6.78,265,0.79,9.31
2012/8,-272,-0.81,-9.56,-20,-0.06,-0.7,235,0.7,8.27,255,0.76,8.97
2012/9,-191,-0.57,-6.94,-4,-0.01,-0.15,238,0.71,8.66,242,0.72,8.8
2012/10,-43,-0.13,-1.51,-8,-0.02,-0.28,278,0.83,9.79,286,0.85,10.07
2012/11,-65,-0.19,-2.37,-20,-0.06,-0.73,261,0.78,9.5,281,0.84,10.23
2012/12,-33,-0.1,-1.16,34,0.1,1.2,268,0.8,9.44,234,0.7,8.24
2013/1,-201,-0.6,-7.06,-60,-0.18,-2.11,251,0.75,8.82,311,0.93,10.93
2013/2,2,0.01,0.08,-20,-0.06,-0.78,202,0.6,7.86,222,0.66,8.64
2013/3,-119,-0.36,-4.18,-70,-0.21,-2.46,193,0.58,6.78,263,0.79,9.25
2013/4,-160,-0.48,-5.81,-79,-0.24,-2.87,210,0.63,7.63,289,0.86,10.5
2013/5,-199,-0.59,-7,-63,-0.19,-2.22,201,0.6,7.07,264,0.79,9.29
2013/6,-45,-0.13,-1.64,-49,-0.15,-1.78,203,0.61,7.38,252,0.75,9.17
2013/7,-166,-0.5,-5.84,-77,-0.23,-2.71,219,0.65,7.71,296,0.89,10.42
2013/8,-174,-0.52,-6.13,-48,-0.14,-1.69,210,0.63,7.4,258,0.77,9.09
2013/9,-89,-0.27,-3.24,-25,-0.07,-0.91,221,0.66,8.05,246,0.74,8.96
2013/10,-25,-0.07,-0.88,-31,-0.09,-1.09,251,0.75,8.85,282,0.84,9.94
2013/11,-53,-0.16,-1.93,-29,-0.09,-1.06,237,0.71,8.63,266,0.8,9.69
2013/12,-64,-0.19,-2.26,-16,-0.05,-0.56,259,0.78,9.13,275,0.82,9.7
2014/1,-74,-0.22,-2.61,-87,-0.26,-3.07,194,0.58,6.84,281,0.84,9.91
2014/2,-170,-0.51,-6.64,-105,-0.31,-4.1,206,0.62,8.05,311,0.93,12.15
2014/3,-14,-0.04,-0.49,-89,-0.27,-3.14,217,0.65,7.66,306,0.92,10.8
2014/4,55,0.16,2.01,-54,-0.16,-1.97,207,0.62,7.55,261,0.78,9.52
2014/5,-26,-0.08,-0.92,-70,-0.21,-2.47,179,0.54,6.32,249,0.75,8.79
2014/6,-38,-0.11,-1.39,-59,-0.18,-2.15,204,0.61,7.44,263,0.79,9.59
2014/7,77,0.23,2.72,-61,-0.18,-2.15,226,0.68,7.97,287,0.86,10.13
