y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,8,0.8,9.5,8,0.8,9.49,13,1.31,15.43,5,0.5,5.93
2008/2,0,0,0,3,0.3,3.8,8,0.8,10.14,5,0.5,6.34
2008/3,24,2.41,28.47,5,0.5,5.92,6,0.6,7.11,1,0.1,1.18
2008/4,8,0.8,9.78,5,0.5,6.11,10,1,12.22,5,0.5,6.11
2008/5,-28,-2.8,-33.1,1,0.1,1.18,4,0.4,4.74,3,0.3,3.55
2008/6,-17,-1.71,-20.83,2,0.2,2.45,5,0.5,6.13,3,0.3,3.68
2008/7,-57,-5.73,-67.7,6,0.61,7.15,8,0.81,9.53,2,0.2,2.38
2008/8,-29,-2.93,-34.64,4,0.41,4.79,7,0.71,8.37,3,0.3,3.59
2008/9,-23,-2.33,-28.47,7,0.71,8.68,10,1.02,12.39,3,0.3,3.72
2008/10,-1,-0.1,-1.2,4,0.41,4.8,10,1.02,12.01,6,0.61,7.21
2008/11,-24,-2.44,-29.78,9,0.92,11.18,11,1.12,13.67,2,0.2,2.48
2008/12,-52,-5.3,-62.6,8,0.82,9.66,12,1.23,14.48,4,0.41,4.83
2009/1,-5,-0.51,-6.03,5,0.51,6.04,8,0.82,9.66,3,0.31,3.62
2009/2,18,1.85,24.07,0,0,0,5,0.51,6.68,5,0.51,6.68
2009/3,-7,-0.72,-8.44,13,1.33,15.68,17,1.74,20.5,4,0.41,4.82
2009/4,10,1.02,12.46,5,0.51,6.23,10,1.02,12.46,5,0.51,6.23
2009/5,8,0.82,9.64,5,0.51,6.02,8,0.82,9.64,3,0.31,3.61
2009/6,19,1.94,23.64,3,0.31,3.73,5,0.51,6.21,2,0.2,2.49
2009/7,63,6.43,75.71,5,0.51,5.99,6,0.61,7.19,1,0.1,1.2
2009/8,-1,-0.1,-1.19,0,0,0,6,0.61,7.16,6,0.61,7.16
2009/9,22,2.23,27.15,7,0.71,8.63,10,1.01,12.33,3,0.3,3.7
2009/10,8,0.81,9.53,2,0.2,2.38,8,0.81,9.53,6,0.61,7.15
2009/11,9,0.91,11.07,7,0.71,8.61,10,1.01,12.3,3,0.3,3.69
2009/12,20,2.02,23.79,9,0.91,10.69,14,1.41,16.64,5,0.5,5.94
2010/1,83,8.37,98.52,1,0.1,1.18,6,0.6,7.09,5,0.5,5.91
2010/2,42,4.2,54.74,3,0.3,3.9,5,0.5,6.5,2,0.2,2.6
2010/3,-28,-2.79,-32.82,2,0.2,2.35,10,1,11.74,8,0.8,9.39
2010/4,-6,-0.6,-7.29,10,1,12.15,12,1.2,14.58,2,0.2,2.43
2010/5,-25,-2.5,-29.41,5,0.5,5.89,11,1.1,12.95,6,0.6,7.07
