y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,-51,-0.22,-2.58,3,0.01,0.15,188,0.8,9.5,185,0.79,9.35
2008/2,-118,-0.51,-6.37,-32,-0.14,-1.73,173,0.74,9.35,205,0.88,11.08
2008/3,-181,-0.78,-9.15,-64,-0.27,-3.24,166,0.71,8.4,230,0.99,11.63
2008/4,-134,-0.57,-7.01,-13,-0.06,-0.68,162,0.69,8.47,175,0.75,9.15
2008/5,-285,-1.22,-14.43,-18,-0.08,-0.91,166,0.71,8.41,184,0.79,9.32
2008/6,-228,-0.98,-11.94,-14,-0.06,-0.73,134,0.58,7.02,148,0.64,7.76
2008/7,-211,-0.91,-10.71,-52,-0.22,-2.64,139,0.6,7.06,191,0.82,9.7
2008/8,-194,-0.83,-9.85,8,0.03,0.41,175,0.75,8.89,167,0.72,8.49
2008/9,-151,-0.65,-7.93,1,0,0.05,169,0.73,8.88,168,0.72,8.83
2008/10,-44,-0.19,-2.24,14,0.06,0.71,210,0.9,10.68,196,0.84,9.97
2008/11,-8,-0.03,-0.42,56,0.24,2.94,199,0.86,10.46,143,0.62,7.52
2008/12,-206,-0.89,-10.48,-32,-0.14,-1.63,176,0.76,8.96,208,0.9,10.59
2009/1,14,0.06,0.71,-7,-0.03,-0.36,142,0.61,7.21,149,0.64,7.57
2009/2,-69,-0.3,-3.88,-34,-0.15,-1.91,203,0.88,11.41,237,1.02,13.33
2009/3,99,0.43,5.03,0,0,0,209,0.9,10.61,209,0.9,10.61
2009/4,60,0.26,3.15,-93,-0.4,-4.88,97,0.42,5.09,190,0.82,9.97
2009/5,-23,-0.1,-1.17,-45,-0.19,-2.28,115,0.5,5.84,160,0.69,8.12
2009/6,141,0.61,7.4,-32,-0.14,-1.68,154,0.66,8.08,186,0.8,9.75
2009/7,206,0.89,10.45,-33,-0.14,-1.67,167,0.72,8.47,200,0.86,10.14
2009/8,13,0.06,0.66,-23,-0.1,-1.17,164,0.71,8.31,187,0.81,9.48
2009/9,-55,-0.24,-2.88,-13,-0.06,-0.68,178,0.77,9.32,191,0.82,10.01
2009/10,55,0.24,2.79,-46,-0.2,-2.33,154,0.66,7.81,200,0.86,10.14
2009/11,92,0.4,4.82,-14,-0.06,-0.73,170,0.73,8.9,184,0.79,9.64
2009/12,115,0.49,5.83,-32,-0.14,-1.62,187,0.8,9.47,219,0.94,11.09
2010/1,324,1.39,16.41,-33,-0.14,-1.67,162,0.7,8.2,195,0.84,9.87
2010/2,92,0.4,5.15,-47,-0.2,-2.63,128,0.55,7.17,175,0.75,9.8
2010/3,-225,-0.97,-11.37,-92,-0.4,-4.65,129,0.55,6.52,221,0.95,11.18
2010/4,-197,-0.85,-10.3,-43,-0.18,-2.25,161,0.69,8.42,204,0.88,10.67
2010/5,-265,-1.14,-13.42,-65,-0.28,-3.29,115,0.49,5.83,180,0.77,9.12
2010/6,-489,-2.11,-25.62,-56,-0.24,-2.94,129,0.56,6.77,185,0.8,9.7
2010/7,-316,-1.36,-16.06,-61,-0.26,-3.1,139,0.6,7.07,200,0.86,10.17
2010/8,-281,-1.21,-14.3,-45,-0.19,-2.29,121,0.52,6.16,166,0.72,8.45
2010/9,-199,-0.86,-10.47,-20,-0.09,-1.05,150,0.65,7.9,170,0.74,8.95
2010/10,-109,-0.47,-5.56,-43,-0.19,-2.19,152,0.66,7.75,195,0.84,9.94
2010/11,-103,-0.45,-5.43,2,0.01,0.11,184,0.8,9.7,182,0.79,9.59
2010/12,-56,-0.24,-2.86,-51,-0.22,-2.6,152,0.66,7.76,203,0.88,10.36
2011/1,-160,-0.69,-8.17,-53,-0.23,-2.71,146,0.63,7.45,199,0.86,10.16
2011/2,-199,-0.86,-11.25,-64,-0.28,-3.62,149,0.65,8.43,213,0.92,12.05
2011/3,-174,-0.76,-8.9,-48,-0.21,-2.45,164,0.71,8.39,212,0.92,10.84
2011/4,-191,-0.83,-10.1,-100,-0.43,-5.29,120,0.52,6.35,220,0.96,11.64
2011/5,-246,-1.07,-12.6,-71,-0.31,-3.64,142,0.62,7.27,213,0.93,10.91
2011/6,-283,-1.23,-14.99,-24,-0.1,-1.27,143,0.62,7.58,167,0.73,8.85
2011/7,-221,-0.96,-11.34,-37,-0.16,-1.9,143,0.62,7.34,180,0.78,9.24
2011/8,-309,-1.35,-15.87,-68,-0.3,-3.5,145,0.63,7.45,213,0.93,10.95
2011/9,-259,-1.13,-13.77,-45,-0.2,-2.39,142,0.62,7.55,187,0.82,9.95
