y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,1095,1.04,12.24,353,0.33,3.94,856,0.81,9.57,503,0.48,5.62
2008/2,788,0.75,9.41,353,0.33,4.21,743,0.7,8.87,390,0.37,4.65
2008/3,748,0.71,8.35,252,0.24,2.81,745,0.7,8.31,493,0.47,5.5
2008/4,1292,1.22,14.89,276,0.26,3.18,670,0.63,7.72,394,0.37,4.54
2008/5,1244,1.17,13.86,340,0.32,3.79,717,0.68,7.98,377,0.36,4.2
2008/6,1179,1.11,13.56,246,0.23,2.83,646,0.61,7.42,400,0.38,4.6
2008/7,693,0.65,7.7,312,0.29,3.47,730,0.69,8.11,418,0.39,4.64
2008/8,492,0.46,5.46,288,0.27,3.2,678,0.64,7.53,390,0.37,4.33
2008/9,371,0.35,4.26,276,0.26,3.17,698,0.66,8.01,422,0.4,4.84
2008/10,640,0.6,7.1,400,0.38,4.44,835,0.78,9.26,435,0.41,4.83
2008/11,653,0.61,7.48,510,0.48,5.84,897,0.84,10.28,387,0.36,4.43
2008/12,1035,0.97,11.47,304,0.29,3.37,766,0.72,8.49,462,0.43,5.12
2009/1,715,0.67,7.9,275,0.26,3.04,606,0.57,6.69,331,0.31,3.65
2009/2,523,0.49,6.39,185,0.17,2.26,768,0.72,9.38,583,0.55,7.12
2009/3,1171,1.1,12.92,516,0.48,5.69,981,0.92,10.82,465,0.44,5.13
2009/4,414,0.39,4.71,-24,-0.02,-0.27,424,0.4,4.83,448,0.42,5.1
2009/5,403,0.38,4.44,196,0.18,2.16,591,0.55,6.51,395,0.37,4.35
2009/6,791,0.74,9,239,0.22,2.72,703,0.66,8,464,0.43,5.28
2009/7,512,0.48,5.63,288,0.27,3.17,708,0.66,7.79,420,0.39,4.62
2009/8,135,0.13,1.48,219,0.2,2.41,645,0.6,7.09,426,0.4,4.68
2009/9,325,0.3,3.69,370,0.35,4.2,743,0.69,8.44,373,0.35,4.24
2009/10,829,0.77,9.11,437,0.41,4.8,846,0.79,9.3,409,0.38,4.49
2009/11,792,0.74,8.99,393,0.37,4.46,820,0.76,9.3,427,0.4,4.84
2009/12,897,0.84,9.85,391,0.36,4.29,830,0.77,9.11,439,0.41,4.82
2010/1,642,0.6,7.04,265,0.25,2.91,726,0.68,7.96,461,0.43,5.05
2010/2,620,0.58,7.52,186,0.17,2.26,574,0.53,6.96,388,0.36,4.71
2010/3,1264,1.18,13.85,211,0.2,2.31,725,0.67,7.94,514,0.48,5.63
2010/4,1021,0.95,11.54,142,0.13,1.6,580,0.54,6.55,438,0.41,4.95
2010/5,814,0.76,8.9,138,0.13,1.51,551,0.51,6.02,413,0.38,4.51
2010/6,27,0.03,0.3,116,0.11,1.31,572,0.53,6.46,456,0.42,5.15
2010/7,1320,1.22,14.42,118,0.11,1.29,586,0.54,6.4,468,0.43,5.11
2010/8,797,0.74,8.69,199,0.18,2.17,642,0.59,7,443,0.41,4.83
2010/9,477,0.44,5.37,234,0.22,2.64,655,0.61,7.38,421,0.39,4.74
2010/10,870,0.81,9.48,221,0.2,2.41,628,0.58,6.84,407,0.38,4.43
2010/11,676,0.63,7.6,259,0.24,2.91,710,0.66,7.98,451,0.42,5.07
2010/12,757,0.29,3.37,522,0.2,2.32,1790,0.68,7.96,1268,0.48,5.64
2011/1,892,0.34,3.97,421,0.16,1.87,1816,0.69,8.07,1395,0.53,6.2
2011/2,581,0.22,2.86,211,0.08,1.04,1509,0.57,7.42,1298,0.49,6.39
2011/3,1260,0.48,5.6,609,0.23,2.71,2128,0.8,9.45,1519,0.57,6.75
2011/4,1283,0.48,5.89,534,0.2,2.45,1877,0.71,8.61,1343,0.51,6.16
2011/5,1263,0.48,5.61,692,0.26,3.07,1943,0.73,8.62,1251,0.47,5.55
2011/6,1758,0.66,8.06,693,0.26,3.18,1881,0.71,8.62,1188,0.45,5.44
2011/7,1797,0.68,7.97,883,0.33,3.91,1968,0.74,8.72,1085,0.41,4.81
2011/8,1482,0.56,6.57,881,0.33,3.9,2019,0.76,8.94,1138,0.43,5.04
2011/9,1093,0.41,5,1001,0.38,4.58,2113,0.79,9.67,1112,0.42,5.09
2011/10,1462,0.55,6.47,1019,0.38,4.51,2148,0.81,9.51,1129,0.42,5
2011/11,1480,0.56,6.77,1108,0.42,5.06,2303,0.87,10.53,1195,0.45,5.46
2011/12,1624,0.61,7.18,1060,0.4,4.69,2322,0.87,10.26,1262,0.47,5.58
2012/1,1219,0.46,5.4,591,0.22,2.62,1867,0.7,8.27,1276,0.48,5.65
2012/2,1312,0.49,6.21,691,0.26,3.27,2140,0.8,10.13,1449,0.54,6.86
2012/3,1874,0.7,8.3,1030,0.39,4.56,2440,0.91,10.8,1410,0.53,6.24
2012/4,1596,0.6,7.3,881,0.33,4.03,2164,0.81,9.89,1283,0.48,5.86
2012/5,1995,0.75,8.82,938,0.35,4.15,2205,0.83,9.75,1267,0.47,5.6
2012/6,1969,0.74,8.99,1397,0.52,6.38,2517,0.94,11.49,1120,0.42,5.11
2012/7,1580,0.59,6.98,694,0.26,3.06,2029,0.76,8.95,1335,0.5,5.89
2012/8,1937,0.72,8.55,1166,0.44,5.14,2407,0.9,10.62,1241,0.46,5.47
2012/9,1296,0.48,5.9,1193,0.45,5.43,2247,0.84,10.23,1054,0.39,4.8
2012/10,1869,0.7,8.24,1700,0.63,7.49,2972,1.11,13.09,1272,0.47,5.6
2012/11,2025,0.76,9.21,1597,0.6,7.26,2753,1.03,12.52,1156,0.43,5.26
2012/12,1827,0.68,8.04,1429,0.53,6.29,2583,0.96,11.36,1154,0.43,5.08
2013/1,2159,0.8,9.47,1286,0.48,5.64,2778,1.03,12.18,1492,0.56,6.54
2013/2,1164,0.43,5.65,771,0.29,3.74,1895,0.71,9.19,1124,0.42,5.45
2013/3,1443,0.54,6.32,798,0.3,3.49,2084,0.78,9.13,1286,0.48,5.63
2013/4,1178,0.44,5.33,592,0.22,2.68,1868,0.69,8.45,1276,0.47,5.77
2013/5,1726,0.64,7.55,750,0.28,3.28,1967,0.73,8.6,1217,0.45,5.32
2013/6,1329,0.49,6.01,547,0.2,2.47,1723,0.64,7.78,1176,0.44,5.31
2013/7,1461,0.54,6.39,630,0.23,2.75,1963,0.73,8.58,1333,0.49,5.82
2013/8,1359,0.5,5.94,574,0.21,2.51,1847,0.69,8.07,1273,0.47,5.56
2013/9,953,0.35,4.3,811,0.3,3.66,1971,0.73,8.89,1160,0.43,5.23
2013/10,1146,0.42,5,846,0.31,3.69,2153,0.8,9.39,1307,0.48,5.7
2013/11,1489,0.55,6.71,923,0.34,4.16,2088,0.77,9.41,1165,0.43,5.25
2013/12,1361,0.5,5.93,889,0.33,3.88,2218,0.82,9.67,1329,0.49,5.79
2014/1,1259,0.47,5.49,639,0.24,2.78,1978,0.73,8.62,1339,0.5,5.83
2014/2,1150,0.43,5.55,417,0.15,2.01,1893,0.7,9.13,1476,0.55,7.12
2014/3,994,0.37,4.33,706,0.26,3.07,2174,0.8,9.46,1468,0.54,6.39
2014/4,1145,0.42,5.15,815,0.3,3.66,2177,0.8,9.79,1362,0.5,6.12
2014/5,914,0.34,3.98,615,0.23,2.68,1897,0.7,8.25,1282,0.47,5.58
2014/6,1215,0.45,5.46,761,0.28,3.42,2028,0.75,9.11,1267,0.47,5.69
2014/7,1426,0.53,6.2,798,0.29,3.47,2186,0.81,9.5,1388,0.51,6.03
2014/8,1488,0.55,6.46,851,0.31,3.7,2066,0.76,8.97,1215,0.45,5.28
2014/9,1696,0.63,7.61,1022,0.38,4.58,2323,0.86,10.42,1301,0.48,5.84
2014/10,1694,0.62,7.35,1270,0.47,5.51,2564,0.94,11.12,1294,0.48,5.61
2014/11,1855,0.68,8.31,1149,0.42,5.15,2261,0.83,10.13,1112,0.41,4.98
2014/12,3338,1.23,14.46,1183,0.44,5.12,2647,0.97,11.47,1464,0.54,6.34
2015/1,1874,0.69,8.11,939,0.35,4.06,2301,0.85,9.96,1362,0.5,5.89
2015/2,1770,0.65,8.48,734,0.27,3.51,1924,0.71,9.21,1190,0.44,5.7
2015/3,2018,0.74,8.72,787,0.29,3.4,2343,0.86,10.13,1556,0.57,6.72
2015/4,1963,0.72,8.76,650,0.24,2.9,2006,0.74,8.95,1356,0.5,6.05
2015/5,1831,0.67,7.9,715,0.26,3.09,1943,0.71,8.38,1228,0.45,5.3
2015/6,2209,0.81,9.85,781,0.29,3.48,2104,0.77,9.38,1323,0.48,5.9
2015/7,2261,0.83,9.75,658,0.24,2.84,2136,0.78,9.2,1478,0.54,6.37
2015/8,3052,1.12,13.14,780,0.29,3.36,2052,0.75,8.83,1272,0.47,5.48
2015/9,1740,0.64,7.74,753,0.28,3.35,2001,0.73,8.89,1248,0.46,5.55
2015/10,2081,0.76,8.95,1227,0.45,5.27,2539,0.93,10.91,1312,0.48,5.64
2015/11,1869,0.68,8.3,1072,0.39,4.76,2360,0.86,10.47,1288,0.47,5.72
2015/12,1942,0.71,8.34,1147,0.42,4.92,2604,0.95,11.18,1457,0.53,6.25
2016/1,1667,0.61,7.17,667,0.24,2.87,2118,0.77,9.11,1451,0.53,6.24
2016/2,1449,0.53,6.66,361,0.13,1.66,1874,0.68,8.61,1513,0.55,6.95
2016/3,1238,0.45,5.32,466,0.17,2,2345,0.85,10.07,1879,0.68,8.07
2016/4,1523,0.55,6.76,475,0.17,2.11,1852,0.67,8.22,1377,0.5,6.11
2016/5,2091,0.76,8.98,823,0.3,3.53,2143,0.78,9.2,1320,0.48,5.66
2016/6,1778,0.65,7.88,632,0.23,2.8,1972,0.72,8.74,1340,0.49,5.94
2016/7,2065,0.75,8.85,649,0.24,2.78,1925,0.7,8.25,1276,0.46,5.47
2016/8,1880,0.68,8.05,689,0.25,2.95,2150,0.78,9.21,1461,0.53,6.26
2016/9,1751,0.63,7.75,861,0.31,3.81,2116,0.77,9.36,1255,0.45,5.55
2016/10,2812,1.02,12.03,1038,0.38,4.44,2374,0.86,10.15,1336,0.48,5.71
2016/11,2259,0.82,9.98,927,0.34,4.09,2259,0.82,9.97,1332,0.48,5.88
2016/12,2281,0.82,9.74,1146,0.41,4.89,2527,0.91,10.79,1381,0.5,5.89
2017/1,1766,0.64,7.51,678,0.24,2.88,1926,0.7,8.19,1248,0.45,5.31
2017/2,1351,0.49,6.36,448,0.16,2.11,1867,0.67,8.79,1419,0.51,6.68
2017/3,1762,0.64,7.49,699,0.25,2.97,2357,0.85,10.01,1658,0.6,7.04
2017/4,1409,0.51,6.18,533,0.19,2.34,1809,0.65,7.94,1276,0.46,5.6
2017/5,1767,0.64,7.5,596,0.21,2.53,1977,0.71,8.39,1381,0.5,5.86
2017/6,1285,0.46,5.63,515,0.19,2.26,1941,0.7,8.51,1426,0.51,6.25
2017/7,1603,0.58,6.8,428,0.15,1.81,1881,0.68,7.97,1453,0.52,6.16
2017/8,1973,0.71,8.36,568,0.2,2.41,2168,0.78,9.18,1600,0.58,6.78
2017/9,1343,0.48,5.88,637,0.23,2.79,2000,0.72,8.75,1363,0.49,5.96
2017/10,1800,0.65,7.62,795,0.29,3.36,2159,0.78,9.14,1364,0.49,5.77
2017/11,1861,0.67,8.14,863,0.31,3.77,2165,0.78,9.46,1302,0.47,5.69
2017/12,1911,0.69,8.08,674,0.24,2.85,2088,0.75,8.82,1414,0.51,5.98
2018/1,1758,0.63,7.43,527,0.19,2.23,2127,0.76,8.98,1600,0.57,6.76
2018/2,1553,0.56,7.26,221,0.08,1.03,1687,0.6,7.88,1466,0.53,6.85
2018/3,1783,0.64,7.52,375,0.13,1.58,2045,0.73,8.63,1670,0.6,7.04
2018/4,841,0.3,3.66,302,0.11,1.32,1701,0.61,7.41,1399,0.5,6.1
2018/5,975,0.35,4.11,461,0.17,1.94,1822,0.65,7.68,1361,0.49,5.74
2018/6,953,0.34,4.15,331,0.12,1.44,1679,0.6,7.31,1348,0.48,5.87
2018/7,1148,0.41,4.84,381,0.14,1.6,1808,0.65,7.61,1427,0.51,6.01
2018/8,1142,0.41,4.81,537,0.19,2.26,1953,0.7,8.22,1416,0.51,5.96
2018/9,651,0.23,2.83,450,0.16,1.96,1714,0.61,7.45,1264,0.45,5.5
2018/10,1380,0.49,5.81,610,0.22,2.57,2133,0.76,8.97,1523,0.54,6.41
