y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,564,1.41,16.69,329,0.82,9.73,491,1.23,14.52,162,0.41,4.79
2008/2,358,0.9,11.31,211,0.53,6.66,406,1.02,12.82,195,0.49,6.16
2008/3,473,1.18,13.96,173,0.43,5.1,400,1,11.8,227,0.57,6.7
2008/4,678,1.69,20.66,268,0.67,8.16,440,1.1,13.39,172,0.43,5.24
2008/5,717,1.79,21.1,221,0.55,6.5,420,1.05,12.35,199,0.5,5.85
2008/6,543,1.35,16.49,213,0.53,6.46,383,0.95,11.62,170,0.42,5.16
2008/7,327,0.81,9.59,217,0.54,6.36,425,1.06,12.47,208,0.52,6.1
2008/8,577,1.43,16.92,250,0.62,7.32,402,1,11.78,152,0.38,4.45
2008/9,366,0.91,11.07,213,0.53,6.44,387,0.96,11.7,174,0.43,5.26
2008/10,471,1.17,13.78,325,0.8,9.5,504,1.25,14.73,179,0.44,5.23
2008/11,614,1.52,18.54,322,0.8,9.71,490,1.21,14.78,168,0.42,5.07
2008/12,648,1.6,18.9,273,0.67,7.96,467,1.15,13.61,194,0.48,5.65
2009/1,560,1.38,16.27,185,0.46,5.37,355,0.88,10.3,170,0.42,4.93
2009/2,540,1.33,17.34,206,0.51,6.61,452,1.11,14.51,246,0.61,7.89
2009/3,848,2.09,24.56,388,0.95,11.23,584,1.44,16.9,196,0.48,5.67
2009/4,441,1.08,13.17,133,0.33,3.97,319,0.78,9.52,186,0.46,5.55
2009/5,287,0.7,8.29,153,0.38,4.42,322,0.79,9.29,169,0.41,4.88
2009/6,419,1.03,12.49,262,0.64,7.81,448,1.1,13.35,186,0.46,5.54
2009/7,403,0.99,11.62,299,0.73,8.61,472,1.15,13.6,173,0.42,4.98
2009/8,496,1.21,14.28,273,0.67,7.86,432,1.06,12.43,159,0.39,4.58
2009/9,546,1.33,16.23,285,0.7,8.46,458,1.12,13.6,173,0.42,5.14
2009/10,488,1.19,14.02,288,0.7,8.27,470,1.15,13.49,182,0.44,5.22
2009/11,551,1.34,16.33,331,0.81,9.81,503,1.22,14.9,172,0.42,5.1
2009/12,637,1.55,18.25,313,0.76,8.96,513,1.25,14.69,200,0.49,5.73
2010/1,394,0.96,11.27,242,0.59,6.92,432,1.05,12.35,190,0.46,5.43
2010/2,252,0.61,7.97,182,0.44,5.76,358,0.87,11.32,176,0.43,5.57
2010/3,617,1.5,17.62,239,0.58,6.82,468,1.13,13.36,229,0.56,6.54
2010/4,467,1.13,13.76,203,0.49,5.98,377,0.91,11.1,174,0.42,5.12
2010/5,67,0.16,1.91,218,0.53,6.21,394,0.95,11.22,176,0.43,5.01
2010/6,-491,-1.19,-14.45,193,0.47,5.68,361,0.87,10.63,168,0.41,4.95
2010/7,589,1.43,16.8,210,0.51,5.98,390,0.94,11.11,180,0.44,5.13
2010/8,522,1.26,14.86,223,0.54,6.35,394,0.95,11.21,171,0.41,4.87
2010/9,319,0.77,9.37,162,0.39,4.76,349,0.84,10.25,187,0.45,5.49
2010/10,359,0.87,10.2,225,0.54,6.39,379,0.91,10.77,154,0.37,4.37
2010/11,322,0.78,9.45,248,0.6,7.27,427,1.03,12.52,179,0.43,5.25
2010/12,340,0.82,9.65,218,0.53,6.18,414,1,11.74,196,0.47,5.56
2011/1,213,0.51,6.04,177,0.43,5.02,403,0.97,11.42,226,0.54,6.41
2011/2,240,0.58,7.53,146,0.35,4.58,325,0.78,10.19,179,0.43,5.61
2011/3,394,0.95,11.16,220,0.53,6.23,482,1.16,13.64,262,0.63,7.42
2011/4,235,0.56,6.87,187,0.45,5.47,392,0.94,11.46,205,0.49,5.99
2011/5,536,1.29,15.16,285,0.68,8.05,487,1.17,13.76,202,0.48,5.71
2011/6,373,0.89,10.88,255,0.61,7.44,444,1.06,12.95,189,0.45,5.51
2011/7,219,0.52,6.18,252,0.6,7.11,432,1.03,12.18,180,0.43,5.08
2011/8,412,0.99,11.62,231,0.55,6.51,427,1.02,12.03,196,0.47,5.52
2011/9,568,1.36,16.53,321,0.77,9.34,472,1.13,13.73,151,0.36,4.39
2011/10,393,0.94,11.06,288,0.69,8.1,447,1.07,12.57,159,0.38,4.47
2011/11,457,1.09,13.27,325,0.78,9.43,516,1.23,14.98,191,0.46,5.54
2011/12,668,1.59,18.75,343,0.82,9.62,542,1.29,15.2,199,0.47,5.58
2012/1,290,0.69,8.15,220,0.52,6.18,420,1,11.8,200,0.48,5.62
2012/2,246,0.59,7.39,224,0.53,6.72,441,1.05,13.24,217,0.52,6.51
2012/3,453,1.08,12.72,274,0.65,7.69,522,1.24,14.65,248,0.59,6.96
2012/4,391,0.93,11.33,250,0.59,7.24,459,1.09,13.29,209,0.5,6.05
2012/5,581,1.38,16.28,316,0.75,8.85,509,1.21,14.25,193,0.46,5.4
2012/6,541,1.28,15.64,349,0.83,10.08,532,1.26,15.37,183,0.43,5.29
2012/7,329,0.78,9.19,233,0.55,6.51,435,1.03,12.15,202,0.48,5.64
2012/8,435,1.03,12.14,366,0.87,10.21,543,1.28,15.15,177,0.42,4.94
2012/9,374,0.88,10.78,331,0.78,9.54,510,1.2,14.69,179,0.42,5.16
2012/10,407,0.96,11.34,432,1.02,12.03,626,1.48,17.44,194,0.46,5.4
2012/11,434,1.02,12.48,391,0.92,11.24,561,1.32,16.13,170,0.4,4.89
2012/12,538,1.27,14.96,408,0.96,11.34,603,1.42,16.76,195,0.46,5.42
2013/1,379,0.89,10.5,274,0.64,7.59,555,1.31,15.37,281,0.66,7.78
2013/2,252,0.59,7.72,212,0.5,6.49,420,0.99,12.86,208,0.49,6.37
2013/3,443,1.04,12.25,250,0.59,6.91,458,1.08,12.66,208,0.49,5.75
2013/4,319,0.75,9.11,218,0.51,6.22,447,1.05,12.76,229,0.54,6.54
