y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,-244,-0.27,-3.24,-23,-0.03,-0.31,650,0.73,8.63,673,0.76,8.93
2008/2,-414,-0.47,-5.88,-107,-0.12,-1.52,544,0.61,7.72,651,0.73,9.24
2008/3,-401,-0.45,-5.33,-102,-0.11,-1.36,530,0.6,7.04,632,0.71,8.4
2008/4,-590,-0.66,-8.1,-120,-0.14,-1.65,530,0.6,7.28,650,0.73,8.93
2008/5,-639,-0.72,-8.5,-61,-0.07,-0.81,533,0.6,7.09,594,0.67,7.9
2008/6,-489,-0.55,-6.72,-56,-0.06,-0.77,505,0.57,6.95,561,0.63,7.72
2008/7,-272,-0.31,-3.62,-59,-0.07,-0.79,586,0.66,7.8,645,0.73,8.59
2008/8,-321,-0.36,-4.28,-26,-0.03,-0.35,545,0.61,7.26,571,0.64,7.61
2008/9,-553,-0.62,-7.61,-76,-0.09,-1.05,574,0.65,7.9,650,0.73,8.95
2008/10,-197,-0.22,-2.63,30,0.03,0.4,635,0.72,8.47,605,0.68,8.07
2008/11,-127,-0.14,-1.75,150,0.17,2.07,735,0.83,10.13,585,0.66,8.06
2008/12,-478,-0.54,-6.37,-165,-0.19,-2.2,541,0.61,7.22,706,0.8,9.42
2009/1,14,0.02,0.19,-92,-0.1,-1.22,422,0.48,5.62,514,0.58,6.84
2009/2,-368,-0.42,-5.42,-241,-0.27,-3.55,579,0.65,8.53,820,0.93,12.08
2009/3,-417,-0.47,-5.55,26,0.03,0.35,678,0.77,9.03,652,0.74,8.68
2009/4,-405,-0.46,-5.57,-249,-0.28,-3.43,346,0.39,4.76,595,0.67,8.19
2009/5,-278,-0.31,-3.7,-77,-0.09,-1.03,426,0.48,5.68,503,0.57,6.7
2009/6,-309,-0.35,-4.26,-74,-0.08,-1.02,539,0.61,7.42,613,0.69,8.44
2009/7,-154,-0.17,-2.05,-83,-0.09,-1.11,520,0.59,6.93,603,0.68,8.04
2009/8,-320,-0.36,-4.27,-100,-0.11,-1.33,486,0.55,6.48,586,0.66,7.82
2009/9,-90,-0.1,-1.24,18,0.02,0.25,609,0.69,8.4,591,0.67,8.15
2009/10,64,0.07,0.85,-47,-0.05,-0.63,568,0.64,7.58,615,0.7,8.2
2009/11,221,0.25,3.05,-15,-0.02,-0.21,591,0.67,8.15,606,0.69,8.35
2009/12,-156,-0.18,-2.08,-116,-0.13,-1.55,573,0.65,7.64,689,0.78,9.19
2010/1,-301,-0.34,-4.02,-151,-0.17,-2.01,494,0.56,6.59,645,0.73,8.61
2010/2,-148,-0.17,-2.19,-144,-0.16,-2.13,405,0.46,5.98,549,0.62,8.11
2010/3,-806,-0.91,-10.76,-202,-0.23,-2.7,505,0.57,6.74,707,0.8,9.44
2010/4,-835,-0.95,-11.53,-210,-0.24,-2.9,408,0.46,5.63,618,0.7,8.53
2010/5,-804,-0.91,-10.75,-119,-0.14,-1.59,431,0.49,5.77,550,0.62,7.36
2010/6,-1684,-1.91,-23.29,-175,-0.2,-2.42,416,0.47,5.76,591,0.67,8.18
2010/7,-953,-1.09,-12.78,-241,-0.27,-3.23,377,0.43,5.06,618,0.7,8.29
2010/8,-928,-1.06,-12.46,-248,-0.28,-3.33,415,0.47,5.57,663,0.76,8.9
2010/9,-802,-0.92,-11.14,-163,-0.19,-2.26,462,0.53,6.42,625,0.71,8.68
