y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,-191,-0.35,-4.09,4,0.01,0.09,455,0.83,9.75,451,0.82,9.66
2008/2,-395,-0.72,-9.04,-64,-0.12,-1.47,404,0.73,9.25,468,0.85,10.72
2008/3,-415,-0.75,-8.9,-102,-0.19,-2.19,374,0.68,8.02,476,0.86,10.21
2008/4,-516,-0.94,-11.44,-66,-0.12,-1.46,349,0.63,7.74,415,0.75,9.2
2008/5,-374,-0.68,-8.03,4,0.01,0.09,384,0.7,8.25,380,0.69,8.16
2008/6,-189,-0.34,-4.2,-42,-0.08,-0.93,349,0.64,7.75,391,0.71,8.68
2008/7,-263,-0.48,-5.65,-3,-0.01,-0.06,371,0.68,7.98,374,0.68,8.04
2008/8,-248,-0.45,-5.33,-33,-0.06,-0.71,316,0.58,6.8,349,0.64,7.51
2008/9,-102,-0.19,-2.27,-2,-0,-0.04,355,0.65,7.89,357,0.65,7.94
2008/10,-49,-0.09,-1.05,30,0.05,0.65,442,0.81,9.51,412,0.75,8.87
2008/11,9,0.02,0.2,50,0.09,1.11,460,0.84,10.23,410,0.75,9.12
2008/12,119,0.22,2.56,-75,-0.14,-1.61,406,0.74,8.74,481,0.88,10.35
2009/1,70,0.13,1.5,-41,-0.07,-0.88,278,0.51,5.96,319,0.58,6.84
2009/2,-449,-0.82,-10.67,-132,-0.24,-3.14,385,0.7,9.15,517,0.94,12.29
2009/3,-313,-0.57,-6.72,32,0.06,0.69,438,0.8,9.41,406,0.74,8.72
2009/4,-337,-0.61,-7.48,-103,-0.19,-2.29,256,0.47,5.69,359,0.66,7.97
2009/5,-108,-0.2,-2.32,-46,-0.08,-0.99,283,0.52,6.08,329,0.6,7.07
2009/6,-44,-0.08,-0.98,-35,-0.06,-0.78,364,0.66,8.09,399,0.73,8.87
2009/7,92,0.17,1.98,-33,-0.06,-0.71,357,0.65,7.68,390,0.71,8.39
2009/8,-117,-0.21,-2.52,-54,-0.1,-1.16,358,0.65,7.7,412,0.75,8.86
2009/9,-340,-0.62,-7.56,-50,-0.09,-1.11,364,0.67,8.09,414,0.76,9.2
2009/10,82,0.15,1.76,-53,-0.1,-1.14,369,0.67,7.94,422,0.77,9.08
2009/11,190,0.35,4.22,17,0.03,0.38,388,0.71,8.62,371,0.68,8.25
2009/12,259,0.47,5.57,-9,-0.02,-0.19,412,0.75,8.86,421,0.77,9.05
2010/1,-7,-0.01,-0.15,-112,-0.2,-2.41,317,0.58,6.81,429,0.78,9.22
2010/2,-81,-0.15,-1.93,-106,-0.19,-2.52,297,0.54,7.07,403,0.74,9.59
2010/3,-727,-1.33,-15.63,-89,-0.16,-1.91,341,0.62,7.34,430,0.79,9.25
2010/4,-515,-0.94,-11.46,-165,-0.3,-3.67,255,0.47,5.68,420,0.77,9.35
2010/5,-508,-0.93,-10.95,-107,-0.2,-2.31,280,0.51,6.04,387,0.71,8.34
2010/6,-1096,-2.01,-24.43,-131,-0.24,-2.92,250,0.46,5.58,381,0.7,8.5
2010/7,-408,-0.75,-8.82,-160,-0.29,-3.46,255,0.47,5.51,415,0.76,8.97
2010/8,-138,-0.25,-2.98,-69,-0.13,-1.49,309,0.57,6.68,378,0.69,8.18
2010/9,-383,-0.7,-8.56,-120,-0.22,-2.68,279,0.51,6.24,399,0.73,8.92
2010/10,-115,-0.21,-2.49,-111,-0.2,-2.4,281,0.52,6.08,392,0.72,8.49
2010/11,-186,-0.34,-4.16,-160,-0.29,-3.58,317,0.58,7.09,477,0.88,10.68
2010/12,-304,-0.56,-6.59,-155,-0.29,-3.36,304,0.56,6.59,459,0.84,9.95
2011/1,-416,-0.77,-9.02,-145,-0.27,-3.14,294,0.54,6.37,439,0.81,9.52
2011/2,-544,-1,-13.06,-177,-0.33,-4.25,239,0.44,5.74,416,0.77,9.99
2011/3,-651,-1.2,-14.13,-203,-0.37,-4.41,359,0.66,7.8,562,1.04,12.21
2011/4,-489,-0.9,-10.98,-136,-0.25,-3.06,285,0.53,6.4,421,0.78,9.46
2011/5,-484,-0.89,-10.53,-137,-0.25,-2.98,280,0.52,6.09,417,0.77,9.08
2011/6,-605,-1.12,-13.61,-121,-0.22,-2.72,281,0.52,6.33,402,0.74,9.05
2011/7,-392,-0.73,-8.55,-64,-0.12,-1.4,322,0.6,7.02,386,0.71,8.42
2011/8,-505,-0.94,-11.02,-79,-0.15,-1.72,326,0.6,7.12,405,0.75,8.84
2011/9,-383,-0.71,-8.64,-86,-0.16,-1.94,304,0.56,6.86,390,0.72,8.8
2011/10,-343,-0.64,-7.5,-61,-0.11,-1.33,306,0.57,6.69,367,0.68,8.02
2011/11,-227,-0.42,-5.13,-103,-0.19,-2.33,287,0.53,6.49,390,0.72,8.81
2011/12,-267,-0.5,-5.84,-156,-0.29,-3.41,294,0.55,6.43,450,0.84,9.85
2012/1,-314,-0.58,-6.89,-151,-0.28,-3.32,265,0.49,5.82,416,0.77,9.13
2012/2,-556,-1.03,-13.05,-194,-0.36,-4.56,292,0.54,6.86,486,0.9,11.41
2012/3,-699,-1.3,-15.37,-153,-0.29,-3.37,322,0.6,7.08,475,0.89,10.45
2012/4,-528,-0.98,-12.01,-145,-0.27,-3.3,291,0.54,6.62,436,0.81,9.92
2012/5,-492,-0.92,-10.84,-109,-0.2,-2.4,323,0.6,7.12,432,0.81,9.52
2012/6,-308,-0.58,-7.02,-43,-0.08,-0.98,341,0.64,7.77,384,0.72,8.75
2012/7,-359,-0.67,-7.92,-128,-0.24,-2.83,301,0.56,6.64,429,0.8,9.47
2012/8,-299,-0.56,-6.6,-122,-0.23,-2.69,290,0.54,6.41,412,0.77,9.1
2012/9,-209,-0.39,-4.77,-47,-0.09,-1.07,334,0.63,7.63,381,0.71,8.7
2012/10,-193,-0.36,-4.27,-69,-0.13,-1.53,378,0.71,8.36,447,0.84,9.88
2012/11,-52,-0.1,-1.19,37,0.07,0.85,399,0.75,9.12,362,0.68,8.27
2012/12,-210,-0.39,-4.64,-74,-0.14,-1.64,353,0.66,7.81,427,0.8,9.44
2013/1,-319,-0.6,-7.04,-140,-0.26,-3.09,379,0.71,8.36,519,0.97,11.45
2013/2,-298,-0.56,-7.28,-120,-0.23,-2.93,260,0.49,6.36,380,0.71,9.29
2013/3,-565,-1.06,-12.48,-139,-0.26,-3.07,291,0.55,6.43,430,0.81,9.5
2013/4,-592,-1.11,-13.53,-202,-0.38,-4.62,248,0.47,5.67,450,0.85,10.29
2013/5,-457,-0.86,-10.12,-195,-0.37,-4.32,238,0.45,5.27,433,0.81,9.59
2013/6,-466,-0.88,-10.67,-156,-0.29,-3.57,223,0.42,5.11,379,0.71,8.68
2013/7,-308,-0.58,-6.83,-189,-0.36,-4.19,243,0.46,5.39,432,0.81,9.58
2013/8,-353,-0.67,-7.83,-137,-0.26,-3.04,245,0.46,5.44,382,0.72,8.48
2013/9,-361,-0.68,-8.28,-181,-0.34,-4.15,256,0.48,5.87,437,0.82,10.03
2013/10,-254,-0.48,-5.64,-173,-0.33,-3.84,257,0.49,5.71,430,0.81,9.55
2013/11,-182,-0.34,-4.18,-140,-0.26,-3.22,257,0.49,5.9,397,0.75,9.12
2013/12,-339,-0.64,-7.54,-225,-0.43,-5,233,0.44,5.18,458,0.87,10.19
2014/1,-404,-0.76,-8.99,-251,-0.47,-5.59,223,0.42,4.96,474,0.9,10.55
2014/2,-677,-1.28,-16.7,-333,-0.63,-8.21,211,0.4,5.2,544,1.03,13.42
2014/3,-427,-0.81,-9.52,-261,-0.49,-5.82,258,0.49,5.75,519,0.98,11.57
2014/4,-251,-0.48,-5.79,-251,-0.48,-5.79,260,0.49,6,511,0.97,11.78
2014/5,-274,-0.52,-6.12,-226,-0.43,-5.05,221,0.42,4.93,447,0.85,9.98
2014/6,-260,-0.49,-6,-232,-0.44,-5.36,239,0.45,5.52,471,0.89,10.87
2014/7,-201,-0.38,-4.49,-256,-0.49,-5.72,242,0.46,5.41,498,0.95,11.13
2014/8,-266,-0.5,-5.95,-142,-0.27,-3.17,245,0.47,5.48,387,0.73,8.65
2014/9,-441,-0.84,-10.2,-192,-0.36,-4.44,250,0.48,5.78,442,0.84,10.22
2014/10,-253,-0.48,-5.66,-140,-0.27,-3.13,287,0.55,6.43,427,0.81,9.56
2014/11,-196,-0.37,-4.54,-151,-0.29,-3.49,239,0.45,5.53,390,0.74,9.03
2014/12,-796,-1.51,-17.85,-191,-0.36,-4.28,290,0.55,6.5,481,0.92,10.78
2015/1,-507,-0.97,-11.38,-234,-0.45,-5.25,255,0.49,5.72,489,0.93,10.98
2015/2,-441,-0.84,-10.97,-201,-0.38,-5,214,0.41,5.32,415,0.79,10.32
2015/3,-673,-1.28,-15.13,-257,-0.49,-5.78,301,0.57,6.77,558,1.07,12.55
2015/4,-575,-1.1,-13.37,-221,-0.42,-5.14,219,0.42,5.1,440,0.84,10.24
2015/5,-522,-1,-11.76,-209,-0.4,-4.71,219,0.42,4.94,428,0.82,9.65
2015/6,-474,-0.91,-11.05,-268,-0.51,-6.25,225,0.43,5.25,493,0.94,11.49
2015/7,-405,-0.78,-9.14,-239,-0.46,-5.4,219,0.42,4.95,458,0.88,10.34
2015/8,-276,-0.53,-6.24,-182,-0.35,-4.11,247,0.47,5.58,429,0.82,9.69
2015/9,-240,-0.46,-5.61,-183,-0.35,-4.28,249,0.48,5.82,432,0.83,10.09
2015/10,-246,-0.47,-5.56,-138,-0.27,-3.12,293,0.56,6.63,431,0.83,9.75
2015/11,-305,-0.59,-7.13,-114,-0.22,-2.67,287,0.55,6.71,401,0.77,9.38
2015/12,-280,-0.54,-6.34,-123,-0.24,-2.79,326,0.63,7.38,449,0.86,10.17
2016/1,-357,-0.69,-8.11,-233,-0.45,-5.29,238,0.46,5.41,471,0.91,10.7
2016/2,-437,-0.84,-10.62,-275,-0.53,-6.68,237,0.46,5.76,512,0.99,12.44
2016/3,-538,-1.04,-12.24,-324,-0.62,-7.37,270,0.52,6.14,594,1.15,13.52
