y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,-79,-0.17,-2.03,-1,-0,-0.03,344,0.75,8.82,345,0.75,8.85
2008/2,265,0.58,7.27,0,0,0,309,0.67,8.47,309,0.67,8.47
2008/3,72,0.16,1.85,-10,-0.02,-0.26,297,0.64,7.61,307,0.67,7.87
2008/4,336,0.73,8.9,6,0.01,0.16,297,0.64,7.86,291,0.63,7.7
2008/5,-74,-0.16,-1.9,3,0.01,0.08,260,0.56,6.66,257,0.56,6.58
2008/6,164,0.36,4.34,10,0.02,0.26,275,0.6,7.28,265,0.57,7.01
2008/7,44,0.1,1.13,12,0.03,0.31,276,0.6,7.07,264,0.57,6.76
2008/8,142,0.31,3.64,46,0.1,1.18,295,0.64,7.55,249,0.54,6.37
2008/9,-174,-0.38,-4.6,17,0.04,0.45,292,0.63,7.72,275,0.6,7.27
2008/10,-84,-0.18,-2.15,6,0.01,0.15,321,0.7,8.22,315,0.68,8.07
2008/11,33,0.07,0.87,158,0.34,4.18,383,0.83,10.14,225,0.49,5.95
2008/12,-141,-0.31,-3.61,-5,-0.01,-0.13,334,0.72,8.55,339,0.74,8.68
2009/1,111,0.24,2.84,28,0.06,0.72,246,0.53,6.28,218,0.47,5.57
2009/2,-271,-0.59,-7.66,-69,-0.15,-1.95,309,0.67,8.74,378,0.82,10.69
2009/3,166,0.36,4.24,115,0.25,2.94,376,0.82,9.61,261,0.57,6.67
2009/4,-9,-0.02,-0.24,-31,-0.07,-0.82,238,0.52,6.28,269,0.58,7.1
2009/5,-62,-0.13,-1.58,-31,-0.07,-0.79,245,0.53,6.26,276,0.6,7.05
2009/6,624,1.35,16.47,13,0.03,0.34,306,0.66,8.07,293,0.64,7.73
2009/7,-193,-0.42,-4.92,25,0.05,0.64,296,0.64,7.55,271,0.59,6.92
2009/8,-17,-0.04,-0.43,65,0.14,1.66,300,0.65,7.66,235,0.51,6
2009/9,-48,-0.1,-1.27,47,0.1,1.24,303,0.66,7.99,256,0.56,6.75
2009/10,142,0.31,3.63,102,0.22,2.6,356,0.77,9.09,254,0.55,6.48
2009/11,154,0.33,4.06,59,0.13,1.56,342,0.74,9.02,283,0.61,7.46
2009/12,126,0.27,3.21,13,0.03,0.33,320,0.69,8.16,307,0.67,7.83
2010/1,251,0.54,6.4,23,0.05,0.59,305,0.66,7.78,282,0.61,7.19
2010/2,25,0.05,0.71,-33,-0.07,-0.93,239,0.52,6.75,272,0.59,7.68
2010/3,-118,-0.26,-3.01,-3,-0.01,-0.08,317,0.69,8.08,320,0.69,8.16
2010/4,-191,-0.41,-5.03,-57,-0.12,-1.5,254,0.55,6.69,311,0.67,8.2
2010/5,-183,-0.4,-4.67,22,0.05,0.56,268,0.58,6.84,246,0.53,6.28
2010/6,-805,-1.74,-21.23,3,0.01,0.08,273,0.59,7.2,270,0.59,7.13
2010/7,72,0.16,1.84,21,0.05,0.54,277,0.6,7.08,256,0.56,6.54
2010/8,43,0.09,1.1,18,0.04,0.46,289,0.63,7.39,271,0.59,6.93
2010/9,-40,-0.09,-1.06,24,0.05,0.63,308,0.67,8.13,284,0.62,7.5
2010/10,-109,-0.24,-2.79,5,0.01,0.13,267,0.58,6.82,262,0.57,6.7
2010/11,-12,-0.03,-0.32,72,0.16,1.9,367,0.8,9.69,295,0.64,7.79
2010/12,-72,-0.16,-1.84,-15,-0.03,-0.38,284,0.62,7.26,299,0.65,7.64
2011/1,-118,-0.26,-3.02,-25,-0.05,-0.64,286,0.62,7.31,311,0.68,7.95
