y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,601,1.21,14.31,272,0.55,6.47,580,1.17,13.8,308,0.62,7.33
2008/2,358,0.72,9.1,185,0.37,4.7,493,0.99,12.53,308,0.62,7.83
2008/3,465,0.94,11.05,214,0.43,5.08,517,1.04,12.28,303,0.61,7.2
2008/4,730,1.47,17.91,216,0.43,5.3,486,0.98,11.92,270,0.54,6.62
2008/5,802,1.61,19.01,226,0.45,5.35,473,0.95,11.21,247,0.5,5.85
2008/6,595,1.19,14.55,210,0.42,5.13,448,0.9,10.95,238,0.48,5.82
2008/7,653,1.31,15.44,250,0.5,5.91,496,0.99,11.72,246,0.49,5.81
2008/8,570,1.14,13.46,205,0.41,4.84,453,0.91,10.69,248,0.5,5.85
2008/9,717,1.43,17.47,249,0.5,6.06,504,1.01,12.27,255,0.51,6.21
2008/10,700,1.4,16.49,333,0.66,7.84,606,1.21,14.26,273,0.54,6.42
2008/11,613,1.22,14.9,351,0.7,8.52,586,1.17,14.23,235,0.47,5.71
2008/12,648,1.29,15.22,199,0.4,4.67,546,1.09,12.82,347,0.69,8.15
2009/1,382,0.76,8.94,196,0.39,4.58,414,0.82,9.68,218,0.43,5.1
2009/2,514,1.02,13.3,167,0.33,4.32,537,1.07,13.89,370,0.73,9.57
2009/3,599,1.19,13.99,312,0.62,7.28,628,1.24,14.66,316,0.63,7.38
2009/4,414,0.82,9.98,108,0.21,2.6,367,0.73,8.84,259,0.51,6.24
2009/5,673,1.33,15.69,216,0.43,5.03,429,0.85,9.99,213,0.42,4.96
2009/6,691,1.37,16.62,228,0.45,5.48,490,0.97,11.78,262,0.52,6.3
2009/7,783,1.55,18.2,253,0.5,5.88,526,1.04,12.22,273,0.54,6.34
2009/8,828,1.63,19.22,249,0.49,5.77,474,0.93,10.99,225,0.44,5.22
2009/9,726,1.43,17.38,276,0.54,6.6,506,1,12.11,230,0.45,5.5
2009/10,570,1.12,13.19,269,0.53,6.22,545,1.07,12.6,276,0.54,6.38
