y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,33,0.36,4.22,7,0.08,0.89,73,0.79,9.33,66,0.71,8.43
2008/2,-39,-0.42,-5.33,-15,-0.16,-2.05,60,0.65,8.19,75,0.81,10.24
2008/3,-21,-0.23,-2.68,-22,-0.24,-2.81,61,0.66,7.8,83,0.9,10.61
2008/4,52,0.56,6.87,-11,-0.12,-1.45,60,0.65,7.92,71,0.77,9.38
2008/5,43,0.47,5.49,-21,-0.23,-2.68,51,0.55,6.51,72,0.78,9.2
2008/6,144,1.56,19,2,0.02,0.26,55,0.59,7.25,53,0.57,6.99
2008/7,167,1.8,21.29,-22,-0.24,-2.8,48,0.52,6.11,70,0.76,8.92
2008/8,138,1.49,17.56,-17,-0.18,-2.16,55,0.59,6.99,72,0.78,9.16
2008/9,77,0.83,10.11,25,0.27,3.28,65,0.7,8.53,40,0.43,5.25
2008/10,120,1.29,15.24,17,0.18,2.16,69,0.74,8.76,52,0.56,6.6
2008/11,77,0.83,10.09,18,0.19,2.36,73,0.78,9.56,55,0.59,7.2
2008/12,127,1.36,16.09,0,0,0,56,0.6,7.09,56,0.6,7.09
2009/1,138,1.48,17.41,14,0.15,1.77,61,0.65,7.69,47,0.5,5.93
2009/2,255,2.73,35.57,-21,-0.22,-2.93,57,0.61,7.94,78,0.83,10.87
2009/3,272,2.9,34.18,20,0.21,2.51,78,0.83,9.79,58,0.62,7.28
2009/4,286,3.04,37.03,-36,-0.38,-4.65,32,0.34,4.14,68,0.72,8.79
2009/5,317,3.36,39.6,-13,-0.14,-1.62,46,0.49,5.74,59,0.62,7.36
2009/6,310,3.28,39.88,-7,-0.07,-0.9,73,0.77,9.38,80,0.84,10.27
2009/7,270,2.85,33.5,2,0.02,0.25,65,0.68,8.05,63,0.66,7.81
2009/8,136,1.43,16.83,5,0.05,0.62,68,0.71,8.41,63,0.66,7.79
2009/9,153,1.61,19.53,-17,-0.18,-2.17,60,0.63,7.65,77,0.81,9.82
2009/10,306,3.21,37.75,17,0.18,2.09,70,0.73,8.62,53,0.55,6.53
2009/11,191,1.99,24.27,27,0.28,3.43,76,0.79,9.65,49,0.51,6.22
2009/12,268,2.79,32.89,17,0.18,2.08,78,0.81,9.56,61,0.63,7.48
2010/1,177,1.84,21.66,8,0.08,0.98,63,0.65,7.7,55,0.57,6.72
2010/2,39,0.4,5.27,-32,-0.33,-4.33,42,0.44,5.68,74,0.77,10.01
2010/3,33,0.34,4.03,-15,-0.16,-1.83,66,0.68,8.06,81,0.84,9.89
2010/4,-4,-0.04,-0.5,-19,-0.2,-2.4,62,0.64,7.82,81,0.84,10.22
2010/5,12,0.12,1.46,-8,-0.08,-0.98,48,0.5,5.86,56,0.58,6.84
2010/6,-79,-0.82,-9.96,-27,-0.28,-3.41,42,0.44,5.3,69,0.72,8.71
2010/7,48,0.5,5.86,-9,-0.09,-1.1,62,0.64,7.57,71,0.74,8.67
2010/8,54,0.56,6.59,-37,-0.38,-4.52,51,0.53,6.23,88,0.91,10.74
2010/9,-2,-0.02,-0.25,-15,-0.16,-1.89,48,0.5,6.05,63,0.65,7.94
2010/10,223,2.31,27.21,-30,-0.31,-3.66,45,0.47,5.48,75,0.78,9.14
2010/11,86,0.89,10.82,3,0.03,0.38,70,0.72,8.8,67,0.69,8.43
2010/12,121,1.25,14.72,-5,-0.05,-0.61,63,0.65,7.66,68,0.7,8.27
2011/1,8,0.08,0.97,-33,-0.34,-4.01,60,0.62,7.29,93,0.96,11.3
2011/2,-72,-0.74,-9.68,-18,-0.19,-2.42,54,0.56,7.27,72,0.74,9.69
2011/3,-65,-0.67,-7.9,-21,-0.22,-2.55,79,0.82,9.61,100,1.03,12.16
2011/4,-113,-1.17,-14.2,-35,-0.36,-4.4,52,0.54,6.54,87,0.9,10.94
2011/5,-48,-0.5,-5.85,-10,-0.1,-1.22,56,0.58,6.82,66,0.68,8.04
2011/6,-31,-0.32,-3.9,-26,-0.27,-3.27,55,0.57,6.93,81,0.84,10.2
2011/7,61,0.63,7.44,1,0.01,0.12,58,0.6,7.07,57,0.59,6.95
