y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,34,0.06,0.72,50,0.09,1.05,448,0.8,9.44,398,0.71,8.39
2008/2,-38,-0.07,-0.86,-26,-0.05,-0.59,388,0.69,8.74,414,0.74,9.33
2008/3,-17,-0.03,-0.36,-6,-0.01,-0.13,377,0.67,7.95,383,0.68,8.07
2008/4,-222,-0.4,-4.84,12,0.02,0.26,399,0.71,8.69,387,0.69,8.43
2008/5,-59,-0.11,-1.24,51,0.09,1.08,401,0.72,8.46,350,0.63,7.38
2008/6,-10,-0.02,-0.22,35,0.06,0.76,370,0.66,8.06,335,0.6,7.3
2008/7,63,0.11,1.33,58,0.1,1.22,390,0.7,8.22,332,0.59,7
2008/8,-10,-0.02,-0.21,54,0.1,1.14,391,0.7,8.24,337,0.6,7.11
2008/9,55,0.1,1.2,108,0.19,2.35,405,0.72,8.82,297,0.53,6.47
2008/10,208,0.37,4.39,184,0.33,3.88,512,0.91,10.79,328,0.59,6.91
2008/11,230,0.41,5.01,193,0.34,4.2,491,0.88,10.69,298,0.53,6.49
2008/12,0,0,0,8,0.01,0.17,404,0.72,8.51,396,0.71,8.34
2009/1,219,0.39,4.6,29,0.05,0.61,321,0.57,6.74,292,0.52,6.13
2009/2,-68,-0.12,-1.58,-95,-0.17,-2.21,400,0.71,9.3,495,0.88,11.51
2009/3,96,0.17,2.02,113,0.2,2.37,472,0.84,9.91,359,0.64,7.54
2009/4,2,0,0.04,-93,-0.17,-2.02,266,0.47,5.77,359,0.64,7.79
2009/5,-15,-0.03,-0.32,-29,-0.05,-0.61,311,0.55,6.53,340,0.61,7.14
2009/6,-50,-0.09,-1.09,27,0.05,0.59,414,0.74,8.98,387,0.69,8.4
2009/7,213,0.38,4.47,74,0.13,1.55,398,0.71,8.36,324,0.58,6.8
2009/8,181,0.32,3.8,62,0.11,1.3,381,0.68,8,319,0.57,6.7
2009/9,122,0.22,2.65,70,0.12,1.52,423,0.75,9.17,353,0.63,7.66
2009/10,218,0.39,4.57,90,0.16,1.89,427,0.76,8.96,337,0.6,7.07
2009/11,234,0.42,5.07,53,0.09,1.15,392,0.7,8.49,339,0.6,7.35
2009/12,195,0.35,4.09,56,0.1,1.17,434,0.77,9.1,378,0.67,7.92
2010/1,202,0.36,4.23,34,0.06,0.71,394,0.7,8.26,360,0.64,7.54
2010/2,0,0,0,-56,-0.1,-1.3,296,0.53,6.87,352,0.63,8.17
2010/3,-324,-0.58,-6.79,-105,-0.19,-2.2,347,0.62,7.27,452,0.8,9.47
2010/4,-230,-0.41,-4.98,-45,-0.08,-0.98,312,0.56,6.76,357,0.64,7.74
2010/5,-73,-0.13,-1.53,-45,-0.08,-0.94,319,0.57,6.69,364,0.65,7.63
2010/6,-1398,-2.49,-30.3,5,0.01,0.11,304,0.54,6.6,299,0.53,6.49
2010/7,293,0.52,6.16,-38,-0.07,-0.8,324,0.58,6.81,362,0.65,7.61
2010/8,347,0.62,7.29,35,0.06,0.74,368,0.66,7.73,333,0.59,7
2010/9,-4,-0.01,-0.09,-9,-0.02,-0.2,360,0.64,7.81,369,0.66,8.01
2010/10,60,0.11,1.26,18,0.03,0.38,353,0.63,7.41,335,0.6,7.04
2010/11,178,0.32,3.86,65,0.12,1.41,412,0.73,8.94,347,0.62,7.53
2010/12,173,0.31,3.63,37,0.07,0.78,409,0.73,8.59,372,0.66,7.81
2011/1,48,0.09,1.01,-31,-0.06,-0.65,415,0.74,8.71,446,0.8,9.36
2011/2,-126,-0.22,-2.93,-103,-0.18,-2.39,300,0.53,6.97,403,0.72,9.37
2011/3,-88,-0.16,-1.85,-65,-0.12,-1.36,437,0.78,9.17,502,0.9,10.54
2011/4,-11,-0.02,-0.24,-31,-0.06,-0.67,379,0.68,8.22,410,0.73,8.9
2011/5,-25,-0.04,-0.52,-19,-0.03,-0.4,376,0.67,7.89,395,0.7,8.29
2011/6,47,0.08,1.02,63,0.11,1.37,431,0.77,9.35,368,0.66,7.98
2011/7,127,0.23,2.67,90,0.16,1.89,433,0.77,9.09,343,0.61,7.2
2011/8,286,0.51,6,176,0.31,3.69,499,0.89,10.47,323,0.58,6.78
2011/9,69,0.12,1.5,100,0.18,2.17,439,0.78,9.52,339,0.6,7.35
2011/10,228,0.41,4.78,159,0.28,3.33,479,0.85,10.05,320,0.57,6.71
2011/11,310,0.55,6.72,149,0.27,3.23,477,0.85,10.33,328,0.58,7.1
2011/12,177,0.32,3.71,71,0.13,1.49,419,0.75,8.78,348,0.62,7.29
2012/1,154,0.27,3.24,28,0.05,0.59,438,0.78,9.2,410,0.73,8.61
2012/2,26,0.05,0.58,23,0.04,0.52,478,0.85,10.73,455,0.81,10.21
2012/3,69,0.12,1.45,32,0.06,0.67,488,0.87,10.25,456,0.81,9.58
2012/4,113,0.2,2.45,107,0.19,2.32,476,0.85,10.33,369,0.66,8.01
2012/5,135,0.24,2.83,139,0.25,2.92,528,0.94,11.08,389,0.69,8.17
2012/6,177,0.31,3.84,201,0.36,4.36,542,0.96,11.75,341,0.61,7.39
2012/7,78,0.14,1.64,121,0.22,2.54,468,0.83,9.82,347,0.62,7.28
2012/8,126,0.22,2.64,155,0.28,3.25,528,0.94,11.08,373,0.66,7.82
2012/9,125,0.22,2.71,187,0.33,4.05,518,0.92,11.23,331,0.59,7.17
2012/10,287,0.51,6.02,212,0.38,4.44,591,1.05,12.39,379,0.67,7.95
2012/11,360,0.64,7.8,252,0.45,5.46,622,1.1,13.47,370,0.66,8.01
2012/12,316,0.56,6.62,218,0.39,4.56,530,0.94,11.1,312,0.55,6.53
2013/1,247,0.44,5.16,77,0.14,1.61,567,1.01,11.83,490,0.87,10.23
2013/2,120,0.21,2.77,89,0.16,2.06,424,0.75,9.79,335,0.59,7.74
2013/3,43,0.08,0.9,10,0.02,0.21,463,0.82,9.66,453,0.8,9.45
2013/4,-32,-0.06,-0.69,-19,-0.03,-0.41,411,0.73,8.86,430,0.76,9.27
2013/5,138,0.24,2.88,64,0.11,1.34,444,0.79,9.26,380,0.67,7.93
2013/6,155,0.27,3.34,31,0.05,0.67,378,0.67,8.15,347,0.61,7.48
2013/7,159,0.28,3.32,48,0.08,1,466,0.83,9.72,418,0.74,8.72
2013/8,217,0.38,4.52,112,0.2,2.33,438,0.78,9.13,326,0.58,6.79
2013/9,84,0.15,1.81,102,0.18,2.2,451,0.8,9.71,349,0.62,7.51
2013/10,145,0.26,3.02,112,0.2,2.33,495,0.88,10.31,383,0.68,7.98
2013/11,117,0.21,2.52,65,0.11,1.4,447,0.79,9.62,382,0.68,8.22
2013/12,185,0.33,3.85,132,0.23,2.75,509,0.9,10.6,377,0.67,7.85
2014/1,107,0.19,2.23,32,0.06,0.67,439,0.78,9.14,407,0.72,8.47
2014/2,5,0.01,0.12,-30,-0.05,-0.69,442,0.78,10.19,472,0.83,10.88
