y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,62,0.23,2.68,27,0.1,1.17,194,0.71,8.39,167,0.61,7.22
2008/2,148,0.54,6.84,58,0.21,2.68,199,0.73,9.19,141,0.52,6.51
2008/3,137,0.5,5.92,44,0.16,1.9,173,0.63,7.47,129,0.47,5.57
2008/4,64,0.23,2.86,13,0.05,0.58,158,0.58,7.05,145,0.53,6.47
2008/5,189,0.69,8.16,30,0.11,1.29,144,0.53,6.21,114,0.42,4.92
2008/6,114,0.42,5.08,38,0.14,1.69,177,0.65,7.89,139,0.51,6.2
2008/7,178,0.65,7.68,28,0.1,1.21,164,0.6,7.07,136,0.5,5.86
2008/8,107,0.39,4.61,53,0.19,2.28,173,0.63,7.45,120,0.44,5.17
2008/9,-42,-0.15,-1.87,50,0.18,2.23,169,0.62,7.52,119,0.43,5.3
2008/10,54,0.2,2.33,38,0.14,1.64,192,0.7,8.27,154,0.56,6.63
2008/11,-22,-0.08,-0.98,79,0.29,3.52,215,0.78,9.57,136,0.5,6.05
2008/12,-271,-0.99,-11.67,24,0.09,1.03,184,0.67,7.93,160,0.58,6.9
2009/1,20,0.07,0.86,25,0.09,1.08,142,0.52,6.11,117,0.43,5.03
2009/2,53,0.19,2.52,-19,-0.07,-0.9,175,0.64,8.33,194,0.71,9.24
2009/3,202,0.74,8.68,50,0.18,2.15,203,0.74,8.72,153,0.56,6.58
2009/4,144,0.53,6.39,-35,-0.13,-1.55,115,0.42,5.1,150,0.55,6.66
2009/5,-124,-0.45,-5.32,-11,-0.04,-0.47,108,0.39,4.64,119,0.43,5.11
2009/6,83,0.3,3.68,5,0.02,0.22,154,0.56,6.83,149,0.54,6.61
2009/7,-44,-0.16,-1.89,79,0.29,3.39,190,0.69,8.16,111,0.4,4.77
2009/8,-76,-0.28,-3.26,40,0.15,1.72,158,0.58,6.79,118,0.43,5.07
2009/9,-175,-0.64,-7.77,-18,-0.07,-0.8,158,0.58,7.02,176,0.64,7.82
2009/10,-15,-0.05,-0.64,58,0.21,2.49,192,0.7,8.25,134,0.49,5.76
2009/11,69,0.25,3.07,51,0.19,2.27,187,0.68,8.31,136,0.5,6.04
2009/12,-69,-0.25,-2.97,61,0.22,2.62,225,0.82,9.67,164,0.6,7.05
2010/1,-83,-0.3,-3.57,15,0.05,0.64,155,0.57,6.66,140,0.51,6.02
2010/2,-87,-0.32,-4.14,19,0.07,0.9,139,0.51,6.62,120,0.44,5.71
2010/3,26,0.09,1.12,25,0.09,1.08,191,0.7,8.22,166,0.61,7.14
2010/4,-78,-0.28,-3.47,27,0.1,1.2,160,0.58,7.11,133,0.49,5.91
2010/5,-195,-0.71,-8.39,15,0.05,0.65,138,0.5,5.94,123,0.45,5.29
2010/6,-562,-2.06,-25.01,-21,-0.08,-0.94,134,0.49,5.97,155,0.57,6.9
2010/7,-49,-0.18,-2.11,-50,-0.18,-2.16,103,0.38,4.44,153,0.56,6.6
2010/8,-51,-0.19,-2.2,-4,-0.01,-0.17,155,0.57,6.69,159,0.58,6.86
2010/9,-71,-0.26,-3.17,3,0.01,0.13,157,0.58,7,154,0.56,6.87
2010/10,-188,-0.69,-8.12,-14,-0.05,-0.6,138,0.51,5.96,152,0.56,6.56
2010/11,-101,-0.37,-4.51,0,0,0,153,0.56,6.83,153,0.56,6.83
2010/12,-32,-0.12,-1.38,16,0.06,0.69,151,0.55,6.53,135,0.5,5.84
2011/1,-70,-0.26,-3.03,-27,-0.1,-1.17,161,0.59,6.96,188,0.69,8.13
2011/2,-86,-0.32,-4.12,-26,-0.1,-1.24,119,0.44,5.7,145,0.53,6.94
2011/3,-53,-0.19,-2.29,2,0.01,0.09,183,0.67,7.92,181,0.66,7.83
2011/4,37,0.14,1.65,7,0.03,0.31,136,0.5,6.08,129,0.47,5.77
2011/5,-42,-0.15,-1.82,4,0.01,0.17,152,0.56,6.57,148,0.54,6.4
2011/6,-48,-0.18,-2.15,41,0.15,1.83,174,0.64,7.78,133,0.49,5.95
2011/7,-134,-0.49,-5.8,12,0.04,0.52,153,0.56,6.62,141,0.52,6.1
2011/8,-34,-0.13,-1.47,13,0.05,0.56,159,0.58,6.88,146,0.54,6.32
2011/9,-202,-0.74,-9.04,51,0.19,2.28,190,0.7,8.5,139,0.51,6.22
2011/10,-114,-0.42,-4.94,32,0.12,1.39,154,0.57,6.67,122,0.45,5.29
2011/11,-50,-0.18,-2.24,35,0.13,1.57,161,0.59,7.21,126,0.46,5.64
2011/12,-68,-0.25,-2.95,21,0.08,0.91,162,0.6,7.02,141,0.52,6.11
2012/1,-2,-0.01,-0.09,4,0.01,0.17,146,0.54,6.35,142,0.52,6.17
2012/2,25,0.09,1.16,27,0.1,1.25,173,0.64,8.04,146,0.54,6.79
