y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,-181,-0.46,-5.47,13,0.03,0.39,255,0.65,7.71,242,0.62,7.32
2008/2,-132,-0.34,-4.27,-35,-0.09,-1.13,206,0.53,6.66,241,0.62,7.8
2008/3,-169,-0.43,-5.12,-16,-0.04,-0.48,242,0.62,7.33,258,0.66,7.81
2008/4,-185,-0.47,-5.79,0,0,0,216,0.55,6.76,216,0.55,6.76
2008/5,-130,-0.33,-3.94,-13,-0.03,-0.39,211,0.54,6.39,224,0.57,6.79
2008/6,-157,-0.4,-4.92,5,0.01,0.16,209,0.54,6.55,204,0.52,6.39
2008/7,-230,-0.59,-6.97,-23,-0.06,-0.7,212,0.54,6.43,235,0.6,7.13
2008/8,-79,-0.2,-2.4,-11,-0.03,-0.33,192,0.49,5.82,203,0.52,6.16
2008/9,-47,-0.12,-1.47,16,0.04,0.5,213,0.55,6.68,197,0.51,6.18
2008/10,-111,-0.29,-3.37,26,0.07,0.79,257,0.66,7.8,231,0.59,7.01
2008/11,59,0.15,1.85,112,0.29,3.51,288,0.74,9.03,176,0.45,5.52
2008/12,-56,-0.14,-1.7,33,0.08,1,253,0.65,7.68,220,0.57,6.68
2009/1,88,0.23,2.66,55,0.14,1.66,224,0.58,6.78,169,0.43,5.11
2009/2,-280,-0.72,-9.38,-89,-0.23,-2.98,203,0.52,6.8,292,0.75,9.79
2009/3,-23,-0.06,-0.7,57,0.15,1.73,281,0.72,8.51,224,0.58,6.78
2009/4,-67,-0.17,-2.1,-84,-0.22,-2.63,144,0.37,4.51,228,0.59,7.14
2009/5,-4,-0.01,-0.12,2,0.01,0.06,178,0.46,5.39,176,0.45,5.33
2009/6,10,0.03,0.31,5,0.01,0.16,213,0.55,6.67,208,0.54,6.51
2009/7,-19,-0.05,-0.58,11,0.03,0.33,231,0.59,7,220,0.57,6.66
2009/8,-60,-0.15,-1.82,16,0.04,0.48,215,0.55,6.51,199,0.51,6.03
2009/9,-148,-0.38,-4.63,4,0.01,0.13,210,0.54,6.58,206,0.53,6.45
2009/10,66,0.17,2,22,0.06,0.67,228,0.59,6.91,206,0.53,6.24
2009/11,-46,-0.12,-1.44,0,0,0,218,0.56,6.83,218,0.56,6.83
2009/12,-175,-0.45,-5.3,8,0.02,0.24,239,0.62,7.25,231,0.59,7
2010/1,-185,-0.48,-5.61,15,0.04,0.45,219,0.56,6.64,204,0.53,6.19
2010/2,-119,-0.31,-4,-10,-0.03,-0.34,185,0.48,6.21,195,0.5,6.55
2010/3,-393,-1.01,-11.93,-48,-0.12,-1.46,206,0.53,6.25,254,0.65,7.71
2010/4,-417,-1.08,-13.09,-16,-0.04,-0.5,195,0.5,6.12,211,0.54,6.63
2010/5,-450,-1.16,-13.68,-38,-0.1,-1.16,176,0.45,5.35,214,0.55,6.51
2010/6,-888,-2.3,-27.93,-45,-0.12,-1.42,182,0.47,5.73,227,0.59,7.15
2010/7,-337,-0.87,-10.28,-71,-0.18,-2.17,162,0.42,4.95,233,0.6,7.11
2010/8,-144,-0.37,-4.4,-56,-0.15,-1.71,173,0.45,5.28,229,0.59,6.99
2010/9,-434,-1.13,-13.7,-39,-0.1,-1.23,164,0.43,5.18,203,0.53,6.41
2010/10,-364,-0.95,-11.13,-44,-0.11,-1.35,167,0.43,5.11,211,0.55,6.46
2010/11,-294,-0.76,-9.3,-45,-0.12,-1.42,198,0.52,6.27,243,0.63,7.69
2010/12,-162,-0.42,-4.96,-77,-0.2,-2.36,164,0.43,5.03,241,0.63,7.39
