y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,6944,0.37,4.38,4546,0.24,2.87,15302,0.82,9.65,10756,0.57,6.78
2008/2,5207,0.28,3.51,2657,0.14,1.79,13322,0.71,8.98,10665,0.57,7.19
2008/3,3943,0.21,2.49,2343,0.13,1.48,13287,0.71,8.37,10944,0.58,6.9
2008/4,4086,0.22,2.66,2823,0.15,1.84,12896,0.69,8.4,10073,0.54,6.56
2008/5,4998,0.27,3.15,3225,0.17,2.03,12726,0.68,8.02,9501,0.51,5.99
2008/6,5367,0.29,3.49,2818,0.15,1.83,11983,0.64,7.8,9165,0.49,5.96
2008/7,7678,0.41,4.84,3796,0.2,2.39,13422,0.72,8.45,9626,0.51,6.06
2008/8,6446,0.34,4.06,3602,0.19,2.27,12440,0.66,7.83,8838,0.47,5.56
2008/9,5767,0.31,3.75,4105,0.22,2.67,13362,0.71,8.69,9257,0.49,6.02
2008/10,8332,0.44,5.24,5759,0.31,3.62,15678,0.84,9.86,9919,0.53,6.24
2008/11,10825,0.58,7.03,8327,0.44,5.41,16988,0.9,11.04,8661,0.46,5.63
2008/12,7505,0.4,4.72,2898,0.15,1.82,13976,0.74,8.78,11078,0.59,6.96
2009/1,9359,0.5,5.86,3191,0.17,2,11260,0.6,7.05,8069,0.43,5.05
2009/2,4183,0.22,2.9,1266,0.07,0.88,14366,0.76,9.96,13100,0.7,9.08
2009/3,8328,0.44,5.21,6728,0.36,4.21,17247,0.92,10.79,10519,0.56,6.58
2009/4,1417,0.08,0.92,-1014,-0.05,-0.66,8847,0.47,5.72,9861,0.52,6.38
2009/5,3800,0.2,2.38,2059,0.11,1.29,10573,0.56,6.61,8514,0.45,5.33
2009/6,5908,0.31,3.82,3309,0.18,2.14,13481,0.72,8.71,10172,0.54,6.57
2009/7,7457,0.4,4.66,3932,0.21,2.46,13432,0.71,8.4,9500,0.5,5.94
2009/8,6966,0.37,4.35,2622,0.14,1.64,12411,0.66,7.76,9789,0.52,6.12
2009/9,7717,0.41,4.98,3894,0.21,2.51,13491,0.72,8.71,9597,0.51,6.2
2009/10,10953,0.58,6.84,5171,0.27,3.23,14668,0.78,9.16,9497,0.5,5.93
2009/11,10588,0.56,6.83,5159,0.27,3.33,14672,0.78,9.46,9513,0.5,6.14
2009/12,9891,0.52,6.17,4632,0.25,2.89,15186,0.8,9.47,10554,0.56,6.58
2010/1,5242,0.28,3.27,2506,0.13,1.56,12863,0.68,8.02,10357,0.55,6.46
2010/2,4053,0.21,2.8,1031,0.05,0.71,10255,0.54,7.08,9224,0.49,6.37
