y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2010/12,1051,0.27,3.18,927,0.24,2.8,2524,0.65,7.63,1597,0.41,4.83
2011/1,54,0.01,0.16,470,0.12,1.42,2294,0.59,6.93,1824,0.47,5.51
2011/2,467,0.12,1.56,365,0.09,1.22,2021,0.52,6.76,1656,0.42,5.54
2011/3,342,0.09,1.03,765,0.2,2.31,2886,0.74,8.72,2121,0.54,6.41
2011/4,1969,0.51,6.15,971,0.25,3.03,2718,0.7,8.48,1747,0.45,5.45
2011/5,1760,0.45,5.31,1266,0.32,3.82,2950,0.76,8.9,1684,0.43,5.08
2011/6,1786,0.46,5.57,1261,0.32,3.93,2757,0.71,8.59,1496,0.38,4.66
2011/7,2372,0.61,7.15,1428,0.37,4.31,2814,0.72,8.48,1386,0.35,4.18
2011/8,2515,0.64,7.58,1366,0.35,4.12,2987,0.76,9,1621,0.41,4.88
2011/9,1454,0.37,4.53,1573,0.4,4.9,3076,0.79,9.57,1503,0.38,4.68
2011/10,1747,0.45,5.26,1580,0.4,4.76,3118,0.8,9.39,1538,0.39,4.63
2011/11,1762,0.45,5.48,1695,0.43,5.27,3257,0.83,10.13,1562,0.4,4.86
2011/12,2856,0.73,8.59,1809,0.46,5.44,3445,0.88,10.36,1636,0.42,4.92
2012/1,1494,0.38,4.5,924,0.24,2.78,2563,0.65,7.72,1639,0.42,4.94
2012/2,1652,0.42,5.32,1270,0.32,4.09,3122,0.8,10.05,1852,0.47,5.96
2012/3,1164,0.3,3.51,1519,0.39,4.57,3430,0.87,10.33,1911,0.49,5.76
2012/4,819,0.21,2.55,1355,0.35,4.22,3093,0.79,9.62,1738,0.44,5.41
2012/5,2389,0.61,7.19,1689,0.43,5.08,3351,0.85,10.09,1662,0.42,5
2012/6,2219,0.57,6.9,1921,0.49,5.97,3440,0.88,10.69,1519,0.39,4.72
2012/7,2230,0.57,6.71,1170,0.3,3.52,3028,0.77,9.1,1858,0.47,5.59
2012/8,2220,0.57,6.67,1809,0.46,5.44,3492,0.89,10.49,1683,0.43,5.06
2012/9,2423,0.62,7.52,2027,0.52,6.29,3510,0.89,10.89,1483,0.38,4.6
2012/10,2011,0.51,6.04,2388,0.61,7.17,4098,1.04,12.3,1710,0.43,5.13
2012/11,2077,0.53,6.44,2276,0.58,7.05,3885,0.99,12.04,1609,0.41,4.99
2012/12,2156,0.55,6.47,2219,0.56,6.65,3835,0.97,11.5,1616,0.41,4.84
2013/1,1934,0.49,5.78,1938,0.49,5.79,3967,1.01,11.85,2029,0.51,6.06
2013/2,963,0.24,3.19,1240,0.31,4.1,2781,0.71,9.2,1541,0.39,5.1
2013/3,680,0.17,2.03,1125,0.29,3.36,3084,0.78,9.21,1959,0.5,5.85
2013/4,539,0.14,1.66,1035,0.26,3.19,2802,0.71,8.65,1767,0.45,5.45
2013/5,1534,0.39,4.58,1132,0.29,3.38,2909,0.74,8.68,1777,0.45,5.3
2013/6,834,0.21,2.57,1061,0.27,3.27,2562,0.65,7.9,1501,0.38,4.63
2013/7,1819,0.46,5.43,1253,0.32,3.74,2978,0.75,8.88,1725,0.44,5.15
2013/8,2157,0.55,6.43,1252,0.32,3.73,2869,0.73,8.55,1617,0.41,4.82
2013/9,1616,0.41,4.98,1152,0.29,3.55,2751,0.7,8.47,1599,0.4,4.92
2013/10,954,0.24,2.84,1298,0.33,3.87,3133,0.79,9.33,1835,0.46,5.47
2013/11,1523,0.39,4.69,1404,0.36,4.32,3006,0.76,9.25,1602,0.41,4.93
2013/12,1071,0.27,3.19,1279,0.32,3.81,3073,0.78,9.15,1794,0.45,5.34
2014/1,848,0.21,2.52,955,0.24,2.84,2865,0.72,8.53,1910,0.48,5.69
2014/2,65,0.02,0.21,721,0.18,2.38,2752,0.7,9.07,2031,0.51,6.69
2014/3,-452,-0.11,-1.35,1102,0.28,3.28,3206,0.81,9.54,2104,0.53,6.26
2014/4,-485,-0.12,-1.49,1253,0.32,3.85,3230,0.82,9.94,1977,0.5,6.08
2014/5,1090,0.28,3.24,1113,0.28,3.31,2878,0.73,8.57,1765,0.45,5.25
2014/6,733,0.19,2.25,1421,0.36,4.37,3081,0.78,9.47,1660,0.42,5.1
2014/7,1237,0.31,3.68,1464,0.37,4.36,3259,0.82,9.7,1795,0.45,5.34
2014/8,1890,0.48,5.62,1286,0.32,3.82,2990,0.76,8.89,1704,0.43,5.07
2014/9,1519,0.38,4.67,1626,0.41,4.99,3400,0.86,10.44,1774,0.45,5.45
2014/10,1546,0.39,4.59,1923,0.49,5.71,3679,0.93,10.93,1756,0.44,5.22
2014/11,1050,0.26,3.22,1741,0.44,5.34,3274,0.83,10.05,1533,0.39,4.71
